replicate,K,boundary_index,boundary
14,3,1,29.0
14,3,2,30.0
14,4,1,29.0
14,4,2,30.0
14,4,3,30.5
14,5,1,29.0
14,5,2,30.0
14,5,3,30.5
14,5,4,31.0
15,2,1,35.0
15,3,1,34.5
15,3,2,36.0
15,4,1,29.5
15,4,2,34.5
15,4,3,36.0
15,5,1,29.0
15,5,2,29.5
15,5,3,34.5
15,5,4,36.0
16,2,1,35.0
16,3,1,34.5
16,3,2,36.5
16,4,1,29.5
16,4,2,34.5
16,4,3,36.5
16,5,1,29.5
16,5,2,33.0
16,5,3,34.5
16,5,4,36.5
17,2,1,29.0
17,3,1,29.0
17,3,2,30.0
17,4,1,29.0
17,4,2,30.0
17,4,3,30.5
17,5,1,29.0
17,5,2,30.0
17,5,3,30.5
17,5,4,34.5
18,2,1,29.5
18,3,1,30.0
18,3,2,31.0
18,4,1,30.0
18,4,2,35.0
18,4,3,36.5
18,5,1,29.0
18,5,2,33.0
18,5,3,34.5
18,5,4,36.0
19,2,1,30.5
19,3,1,29.5
19,3,2,30.5
19,4,1,29.5
19,4,2,30.0
19,4,3,31.0
19,5,1,29.5
19,5,2,30.0
19,5,3,35.0
19,5,4,36.5
20,2,1,29.0
20,3,1,29.0
20,3,2,30.0
20,4,1,29.0
20,4,2,30.0
20,4,3,35.5
20,5,1,29.0
20,5,2,29.5
20,5,3,30.5
20,5,4,35.5
21,2,1,29.5
21,3,1,29.5
21,3,2,30.0
21,4,1,29.5
21,4,2,30.0
21,4,3,30.5
21,5,1,29.5
21,5,2,30.0
21,5,3,30.5
21,5,4,35.0
22,2,1,30.5
22,3,1,29.5
22,3,2,30.0
22,4,1,29.5
22,4,2,30.0
22,4,3,30.5
22,5,1,29.5
22,5,2,30.0
22,5,3,30.5
22,5,4,36.0
23,2,1,30.0
23,3,1,29.0
23,3,2,30.0
23,4,1,29.0
23,4,2,33.5
23,4,3,34.5
23,5,1,29.0
23,5,2,30.0
23,5,3,30.5
23,5,4,35.5
24,2,1,32.0
24,3,1,31.5
24,3,2,32.5
24,4,1,31.5
24,4,2,32.5
24,4,3,33.0
24,5,1,31.0
24,5,2,32.0
24,5,3,33.0
24,5,4,34.0
25,2,1,29.0
25,3,1,29.0
25,3,2,30.5
25,4,1,29.0
25,4,2,30.0
25,4,3,34.0
25,5,1,29.0
25,5,2,30.0
25,5,3,34.0
25,5,4,35.5
26,2,1,30.0
26,3,1,29.5
26,3,2,30.5
26,4,1,29.5
26,4,2,30.5
26,4,3,31.0
26,5,1,29.5
26,5,2,30.5
26,5,3,31.0
26,5,4,32.0
27,2,1,30.5
27,3,1,29.5
27,3,2,30.5
27,4,1,29.5
27,4,2,30.0
27,4,3,30.5
27,5,1,29.5
27,5,2,30.0
27,5,3,30.5
27,5,4,31.0
28,2,1,33.0
28,3,1,31.5
28,3,2,34.0
28,4,1,30.5
28,4,2,32.0
28,4,3,34.0
28,5,1,30.5
28,5,2,32.0
28,5,3,33.5
28,5,4,34.5
29,2,1,30.0
29,3,1,29.5
29,3,2,30.0
29,4,1,29.5
29,4,2,30.0
29,4,3,36.0
29,5,1,29.5
29,5,2,30.0
29,5,3,32.0
29,5,4,33.5
30,2,1,30.5
30,3,1,29.5
30,3,2,30.5
30,4,1,29.0
30,4,2,30.0
30,4,3,30.5
30,5,1,29.0
30,5,2,30.0
30,5,3,30.5
30,5,4,31.0
31,2,1,29.0
31,3,1,29.0
31,3,2,30.0
31,4,1,29.0
31,4,2,30.0
31,4,3,35.5
31,5,1,29.0
31,5,2,30.0
31,5,3,30.5
31,5,4,31.0
32,2,1,30.0
32,3,1,29.0
32,3,2,30.0
32,4,1,29.0
32,4,2,29.5
32,4,3,30.0
32,5,1,29.0
32,5,2,29.5
32,5,3,30.0
32,5,4,30.5
33,2,1,30.5
33,3,1,29.5
33,3,2,30.5
33,4,1,29.5
33,4,2,30.0
33,4,3,30.5
33,5,1,29.5
33,5,2,30.0
33,5,3,33.5
33,5,4,34.5
34,2,1,29.5
34,3,1,29.5
34,3,2,30.5
34,4,1,29.5
34,4,2,30.5
34,4,3,35.0
34,5,1,29.5
34,5,2,30.0
34,5,3,34.0
34,5,4,35.5
35,2,1,30.0
35,3,1,29.0
35,3,2,29.5
35,4,1,29.0
35,4,2,30.0
35,4,3,31.0
35,5,1,29.0
35,5,2,29.5
35,5,3,30.0
35,5,4,31.0
36,2,1,30.5
36,3,1,29.0
36,3,2,30.5
36,4,1,29.0
36,4,2,30.0
36,4,3,30.5
36,5,1,29.0
36,5,2,29.5
36,5,3,30.0
36,5,4,30.5
37,2,1,32.5
37,3,1,29.0
37,3,2,32.5
37,4,1,29.0
37,4,2,31.5
37,4,3,33.0
37,5,1,29.0
37,5,2,30.0
37,5,3,31.5
37,5,4,33.0
38,2,1,30.0
38,3,1,29.0
38,3,2,36.5
38,4,1,29.0
38,4,2,30.5
38,4,3,34.0
38,5,1,29.0
38,5,2,30.0
38,5,3,33.0
38,5,4,33.5
39,2,1,30.0
39,3,1,30.0
39,3,2,36.0
39,4,1,29.5
39,4,2,30.5
39,4,3,36.0
39,5,1,29.5
39,5,2,31.0
39,5,3,34.0
39,5,4,36.0
40,2,1,31.0
40,3,1,30.5
40,3,2,31.5
40,4,1,30.0
40,4,2,31.0
40,4,3,32.0
40,5,1,30.0
40,5,2,31.0
40,5,3,32.0
40,5,4,33.0
41,2,1,29.0
41,3,1,29.0
41,3,2,30.0
41,4,1,29.0
41,4,2,33.0
41,4,3,34.0
41,5,1,29.0
41,5,2,32.5
41,5,3,33.5
41,5,4,34.5
42,2,1,31.0
42,3,1,30.0
42,3,2,31.5
42,4,1,30.0
42,4,2,31.0
42,4,3,31.5
42,5,1,30.0
42,5,2,30.5
42,5,3,31.0
42,5,4,31.5
43,2,1,30.0
43,3,1,29.0
43,3,2,30.0
43,4,1,29.0
43,4,2,30.0
43,4,3,30.5
43,5,1,29.0
43,5,2,30.0
43,5,3,30.5
43,5,4,31.0
44,2,1,34.0
44,3,1,33.5
44,3,2,34.5
44,4,1,33.0
44,4,2,34.0
44,4,3,35.0
44,5,1,33.0
44,5,2,34.0
44,5,3,34.5
44,5,4,35.0
45,2,1,29.5
45,3,1,29.5
45,3,2,31.0
45,4,1,29.5
45,4,2,30.5
45,4,3,31.0
45,5,1,29.5
45,5,2,30.5
45,5,3,31.0
45,5,4,32.0
46,2,1,29.0
46,3,1,28.5
46,3,2,30.0
46,4,1,28.5
46,4,2,29.5
46,4,3,34.0
46,5,1,28.5
46,5,2,30.0
46,5,3,32.0
46,5,4,33.0
47,2,1,30.0
47,3,1,29.5
47,3,2,30.5
47,4,1,29.0
47,4,2,30.0
47,4,3,30.5
47,5,1,29.0
47,5,2,30.0
47,5,3,32.5
47,5,4,33.5
48,2,1,30.0
48,3,1,29.0
48,3,2,30.0
48,4,1,29.0
48,4,2,30.0
48,4,3,34.5
48,5,1,29.0
48,5,2,30.0
48,5,3,31.0
48,5,4,33.5
49,2,1,29.5
49,3,1,29.5
49,3,2,30.0
49,4,1,29.5
49,4,2,30.0
49,4,3,30.5
49,5,1,29.5
49,5,2,30.0
49,5,3,30.5
49,5,4,33.0
50,2,1,29.5
50,3,1,30.0
50,3,2,35.5
50,4,1,29.0
50,4,2,30.0
50,4,3,31.0
50,5,1,29.0
50,5,2,29.5
50,5,3,30.5
50,5,4,35.5
51,2,1,29.5
51,3,1,29.0
51,3,2,30.5
51,4,1,29.0
51,4,2,30.0
51,4,3,30.5
51,5,1,29.0
51,5,2,30.0
51,5,3,30.5
51,5,4,31.0
52,2,1,29.0
52,3,1,29.0
52,3,2,29.5
52,4,1,29.0
52,4,2,30.5
52,4,3,36.0
52,5,1,29.0
52,5,2,29.5
52,5,3,30.5
52,5,4,31.0
53,2,1,36.5
53,3,1,30.0
53,3,2,36.5
53,4,1,29.0
53,4,2,30.0
53,4,3,36.5
53,5,1,29.0
53,5,2,30.0
53,5,3,34.5
53,5,4,36.5
54,2,1,30.0
54,3,1,29.5
54,3,2,30.0
54,4,1,29.0
54,4,2,30.0
54,4,3,30.5
54,5,1,29.0
54,5,2,30.0
54,5,3,30.5
54,5,4,31.5
55,2,1,30.0
55,3,1,29.0
55,3,2,30.0
55,4,1,29.5
55,4,2,30.0
55,4,3,30.5
55,5,1,29.0
55,5,2,30.0
55,5,3,30.5
55,5,4,31.0
56,2,1,29.5
56,3,1,29.0
56,3,2,30.0
56,4,1,29.5
56,4,2,30.0
56,4,3,30.5
56,5,1,29.0
56,5,2,30.0
56,5,3,30.5
56,5,4,31.5
57,2,1,30.0
57,3,1,29.0
57,3,2,30.5
57,4,1,29.0
57,4,2,30.0
57,4,3,31.0
57,5,1,29.0
57,5,2,30.0
57,5,3,30.5
57,5,4,31.0
58,2,1,29.5
58,3,1,29.5
58,3,2,30.5
58,4,1,29.5
58,4,2,30.0
58,4,3,30.5
58,5,1,29.5
58,5,2,30.0
58,5,3,32.5
58,5,4,33.5
59,2,1,29.5
59,3,1,29.5
59,3,2,33.5
59,4,1,29.5
59,4,2,33.0
59,4,3,33.5
59,5,1,29.5
59,5,2,33.0
59,5,3,33.5
59,5,4,34.5
60,2,1,30.5
60,3,1,29.5
60,3,2,30.5
60,4,1,29.5
60,4,2,30.5
60,4,3,33.0
60,5,1,29.5
60,5,2,30.0
60,5,3,33.0
60,5,4,34.0
61,2,1,29.5
61,3,1,29.5
61,3,2,34.0
61,4,1,29.0
61,4,2,30.0
61,4,3,33.0
61,5,1,29.0
61,5,2,30.5
61,5,3,32.5
61,5,4,33.5
62,2,1,29.5
62,3,1,29.5
62,3,2,30.5
62,4,1,29.5
62,4,2,30.0
62,4,3,30.5
62,5,1,29.5
62,5,2,30.0
62,5,3,30.5
62,5,4,31.0
63,2,1,29.0
63,3,1,29.0
63,3,2,30.5
63,4,1,29.0
63,4,2,30.0
63,4,3,30.5
63,5,1,29.0
63,5,2,30.0
63,5,3,30.5
63,5,4,31.0
64,2,1,31.5
64,3,1,31.0
64,3,2,32.0
64,4,1,31.0
64,4,2,32.0
64,4,3,33.0
64,5,1,29.5
64,5,2,31.0
64,5,3,32.0
64,5,4,33.0
65,2,1,31.0
65,3,1,29.5
65,3,2,30.5
65,4,1,29.5
65,4,2,30.0
65,4,3,30.5
65,5,1,29.5
65,5,2,30.0
65,5,3,30.5
65,5,4,31.0
66,2,1,36.5
66,3,1,30.5
66,3,2,36.5
66,4,1,29.5
66,4,2,30.5
66,4,3,36.5
66,5,1,29.5
66,5,2,30.5
66,5,3,31.0
66,5,4,36.5
67,2,1,29.0
67,3,1,29.0
67,3,2,30.5
67,4,1,29.0
67,4,2,30.0
67,4,3,30.5
67,5,1,29.0
67,5,2,30.0
67,5,3,32.5
67,5,4,33.5
68,2,1,36.0
68,3,1,29.0
68,3,2,36.0
68,4,1,29.0
68,4,2,34.5
68,4,3,36.5
68,5,1,29.5
68,5,2,30.0
68,5,3,34.5
68,5,4,36.5
69,2,1,30.5
69,3,1,30.0
69,3,2,30.5
69,4,1,29.5
69,4,2,30.0
69,4,3,30.5
69,5,1,29.5
69,5,2,30.0
69,5,3,34.5
69,5,4,37.0
70,2,1,36.0
70,3,1,29.0
70,3,2,36.0
70,4,1,29.0
70,4,2,30.0
70,4,3,36.0
70,5,1,29.0
70,5,2,29.5
70,5,3,30.0
70,5,4,36.0
71,2,1,36.5
71,3,1,29.0
71,3,2,36.5
71,4,1,29.0
71,4,2,30.5
71,4,3,36.5
71,5,1,29.0
71,5,2,30.0
71,5,3,30.5
71,5,4,36.5
72,2,1,30.5
72,3,1,29.0
72,3,2,30.5
72,4,1,29.0
72,4,2,30.0
72,4,3,30.5
72,5,1,29.0
72,5,2,30.0
72,5,3,30.5
72,5,4,31.0
73,2,1,29.5
73,3,1,29.0
73,3,2,35.5
73,4,1,29.0
73,4,2,30.0
73,4,3,36.0
73,5,1,29.0
73,5,2,30.0
73,5,3,31.0
73,5,4,36.0
74,2,1,30.0
74,3,1,29.5
74,3,2,30.5
74,4,1,29.0
74,4,2,30.5
74,4,3,34.0
74,5,1,29.0
74,5,2,30.5
74,5,3,33.0
74,5,4,34.0
75,2,1,31.0
75,3,1,29.0
75,3,2,31.0
75,4,1,29.0
75,4,2,30.0
75,4,3,31.0
75,5,1,29.0
75,5,2,30.0
75,5,3,30.5
75,5,4,31.0
76,2,1,30.0
76,3,1,30.0
76,3,2,30.5
76,4,1,29.5
76,4,2,30.5
76,4,3,31.0
76,5,1,29.5
76,5,2,30.5
76,5,3,31.0
76,5,4,32.0
77,2,1,29.0
77,3,1,29.0
77,3,2,34.5
77,4,1,29.0
77,4,2,30.0
77,4,3,34.5
77,5,1,29.0
77,5,2,30.0
77,5,3,30.5
77,5,4,33.0
78,2,1,29.5
78,3,1,29.0
78,3,2,30.0
78,4,1,29.5
78,4,2,35.0
78,4,3,36.5
78,5,1,29.0
78,5,2,30.0
78,5,3,31.0
78,5,4,32.0
79,2,1,29.0
79,3,1,29.5
79,3,2,34.0
79,4,1,29.5
79,4,2,34.0
79,4,3,35.5
79,5,1,29.0
79,5,2,29.5
79,5,3,34.0
79,5,4,35.5
80,2,1,30.0
80,3,1,29.5
80,3,2,30.5
80,4,1,29.0
80,4,2,30.0
80,4,3,31.0
80,5,1,29.0
80,5,2,29.5
80,5,3,30.0
80,5,4,31.0
81,2,1,29.0
81,3,1,30.0
81,3,2,34.0
81,4,1,29.5
81,4,2,30.0
81,4,3,30.5
81,5,1,29.5
81,5,2,32.5
81,5,3,33.5
81,5,4,34.5
82,2,1,30.5
82,3,1,29.0
82,3,2,30.5
82,4,1,29.0
82,4,2,30.5
82,4,3,33.5
82,5,1,29.0
82,5,2,30.0
82,5,3,33.0
82,5,4,33.5
83,2,1,29.0
83,3,1,29.0
83,3,2,30.0
83,4,1,29.0
83,4,2,30.0
83,4,3,30.5
83,5,1,29.0
83,5,2,30.0
83,5,3,30.5
83,5,4,31.0
84,2,1,30.0
84,3,1,29.0
84,3,2,30.5
84,4,1,29.0
84,4,2,29.5
84,4,3,30.5
84,5,1,29.0
84,5,2,29.5
84,5,3,30.0
84,5,4,30.5
85,2,1,34.0
85,3,1,33.0
85,3,2,35.0
85,4,1,32.5
85,4,2,33.5
85,4,3,35.0
85,5,1,32.5
85,5,2,33.0
85,5,3,34.0
85,5,4,35.0
86,2,1,29.5
86,3,1,29.0
86,3,2,33.5
86,4,1,29.5
86,4,2,30.5
86,4,3,33.5
86,5,1,29.5
86,5,2,30.5
86,5,3,32.5
86,5,4,33.5
87,2,1,29.0
87,3,1,29.0
87,3,2,30.5
87,4,1,29.0
87,4,2,30.0
87,4,3,31.0
87,5,1,29.0
87,5,2,30.0
87,5,3,31.0
87,5,4,35.5
88,2,1,29.5
88,3,1,29.5
88,3,2,30.0
88,4,1,29.5
88,4,2,30.0
88,4,3,30.5
88,5,1,29.5
88,5,2,30.0
88,5,3,30.5
88,5,4,31.0
89,2,1,32.0
89,3,1,30.0
89,3,2,32.5
89,4,1,29.0
89,4,2,31.0
89,4,3,33.0
89,5,1,29.0
89,5,2,30.5
89,5,3,31.5
89,5,4,33.0
90,2,1,30.0
90,3,1,29.5
90,3,2,30.5
90,4,1,29.5
90,4,2,30.0
90,4,3,30.5
90,5,1,29.5
90,5,2,30.0
90,5,3,32.5
90,5,4,34.0
91,2,1,29.5
91,3,1,29.0
91,3,2,30.0
91,4,1,29.0
91,4,2,30.0
91,4,3,33.0
91,5,1,29.5
91,5,2,30.0
91,5,3,32.5
91,5,4,34.0
92,2,1,29.0
92,3,1,29.0
92,3,2,29.5
92,4,1,29.0
92,4,2,29.5
92,4,3,30.5
92,5,1,29.0
92,5,2,29.5
92,5,3,30.5
92,5,4,31.0
93,2,1,35.5
93,3,1,34.5
93,3,2,36.5
93,4,1,29.5
93,4,2,34.5
93,4,3,36.5
93,5,1,29.0
93,5,2,30.0
93,5,3,34.5
93,5,4,36.5
94,2,1,34.5
94,3,1,34.0
94,3,2,35.0
94,4,1,33.5
94,4,2,34.5
94,4,3,35.5
94,5,1,29.5
94,5,2,33.5
94,5,3,34.5
94,5,4,35.5
95,2,1,31.5
95,3,1,31.0
95,3,2,32.0
95,4,1,30.5
95,4,2,31.5
95,4,3,32.5
95,5,1,29.5
95,5,2,30.5
95,5,3,31.5
95,5,4,32.5
96,2,1,29.5
96,3,1,30.0
96,3,2,30.5
96,4,1,29.0
96,4,2,30.0
96,4,3,30.5
96,5,1,29.0
96,5,2,30.0
96,5,3,30.5
96,5,4,36.0
97,2,1,29.5
97,3,1,29.5
97,3,2,34.0
97,4,1,29.0
97,4,2,33.0
97,4,3,35.5
97,5,1,29.0
97,5,2,30.0
97,5,3,30.5
97,5,4,32.5
98,2,1,29.5
98,3,1,29.5
98,3,2,34.0
98,4,1,29.5
98,4,2,30.5
98,4,3,34.0
98,5,1,29.5
98,5,2,30.0
98,5,3,31.5
98,5,4,32.5
99,2,1,30.0
99,3,1,29.5
99,3,2,30.5
99,4,1,29.5
99,4,2,30.0
99,4,3,31.0
99,5,1,29.5
99,5,2,30.0
99,5,3,30.5
99,5,4,31.0
100,2,1,30.5
100,3,1,29.0
100,3,2,30.5
100,4,1,29.0
100,4,2,30.0
100,4,3,30.5
100,5,1,29.0
100,5,2,30.0
100,5,3,30.5
100,5,4,31.0
