ga,p_cond,p_marg
15.3,0.9981597866208999,0.8952959773430569
15.4,0.9982434622657995,0.8966754048521737
15.5,0.9983191345807988,0.8979667193794743
15.600000000000001,0.9983874130253184,0.8991707287079638
15.7,0.9984490679644593,0.9002915865327281
15.8,0.9985048350263743,0.9013341279457365
15.9,0.9985553656295195,0.9023030111933847
16.0,0.9986012387969528,0.9032027321727276
16.1,0.9986429712688596,0.9040376382352102
16.2,0.9986810261659216,0.9048119412744797
16.3,0.9987158204150918,0.9055297300787278
16.4,0.9987477311148875,0.9061949819311419
16.5,0.9987771009884076,0.9068115734445608
16.6,0.9988042430480312,0.9073832906184516
16.7,0.9988294445754324,0.907913838107972
16.8,0.9988529705035402,0.9084068476962435
16.9,0.9988750662728773,0.9088658859621379
17.0,0.998895960222925,0.9092944611369342
17.1,0.9989158655694194,0.9096960291442233
17.2,0.9989349820105343,0.9100739988184563
17.3,0.9989534969985028,0.9104317362986333
17.4,0.9989715867081742,0.9107725685948203
17.5,0.9989894167301687,0.9110997863265241
17.6,0.9990071425135048,0.9114166456334611
17.7,0.9990249095807556,0.9117263692609494
17.8,0.9990428535378073,0.9120321468240622
17.9,0.9990610999000645,0.9123371342567781
18.0,0.9990797637573771,0.9126444524547174
18.1,0.9990989493009464,0.9129571851225877
18.200000000000003,0.9991187492369101,0.9132783758402347
18.3,0.9991392441130885,0.9136110243641787
18.4,0.9991605015873926,0.9139580821846875
18.5,0.9991825756684857,0.9143224473618128
18.6,0.9992055059613492,0.9147069586673688
18.700000000000003,0.9992293169522348,0.9151143890635554
18.8,0.9992540173689561,0.9155474385528015
18.9,0.9992795996533863,0.916008726437433
19.0,0.9993060395832278,0.9165007830319185
19.1,0.9993332960794232,0.9170260408747257
19.200000000000003,0.9993613112338288,0.9175868254912158
19.3,0.9993900105888299,0.9181853457634692
19.4,0.9994193036963289,0.9188236839675306
19.5,0.9994490849779115,0.9195037855432024
19.6,0.999479234900961,0.9202274486662222
19.700000000000003,0.9995096214770981,0.9209963136974361
19.8,0.9995401020796617,0.9218118525883523
19.9,0.9995705255662202,0.9226753583272707
20.0,0.9996007346805708,0.9235879345149411
20.1,0.9996305537392703,0.9245498107483955
20.200000000000003,0.9996597554241546,0.9255583739136819
20.3,0.9996881234925712,0.9266103045993527
20.4,0.9997154713286751,0.9277022790263267
20.5,0.999741642561028,0.9288309811118332
20.6,0.9997665109948889,0.929993114020921
20.700000000000003,0.9997899799216468,0.9311854111727462
20.8,0.9998119808793176,0.9324046466720368
20.9,0.9998324719463374,0.9336476451394466
21.0,0.9998514356559948,0.9349112909179285
21.1,0.9998688766208612,0.9361925366358437
21.200000000000003,0.9998848189556804,0.9374884111111363
21.3,0.9998993035836572,0.9387960265846634
21.4,0.9999123855052959,0.9401125852745282
21.5,0.999924131101278,0.941435385247077
21.6,0.9999346155317992,0.9427618256040131
21.700000000000003,0.9999439202847444,0.944089410988829
21.8,0.9999521309145265,0.9454157554194527
21.9,0.9999593350027735,0.9467385854575644
22.0,0.9999656203617062,0.9480557427284886
22.1,0.9999710734913311,0.9493651858088191
22.200000000000003,0.9999757782927587,0.9506649915020179
22.3,0.9999798150322567,0.9519533555250508
22.4,0.9999832595441674,0.9532285926317277
22.5,0.9999861826556757,0.9544891362007238
22.6,0.9999886498125625,0.9557335373183045
22.700000000000003,0.999990720882514,0.9569604633874927
22.8,0.999992450111163,0.9581686962968656
22.9,0.9999938862056917,0.9593571301832649
23.0,0.9999950725213802,0.960524768823515
23.1,0.9999960473277646,0.9616707226907393
23.200000000000003,0.9999968441329168,0.9627942057110549
23.3,0.9999974920465903,0.9638945317563327
23.4,0.9999980161654601,0.9649711109083386
23.5,0.999998437966262,0.9660234455289382
23.6,0.9999987756952048,0.9670511261701848
23.700000000000003,0.9999990447444863,0.9680538273570174
23.8,0.9999992580090141,0.9690313032740167
23.9,0.9999994262184775,0.9699833833862144
24.0,0.9999995582416908,0.9709099680223493
24.1,0.9999996613616309,0.971811023947244
24.200000000000003,0.9999997415208147,0.9726865799481579
24.3,0.999999803537629,0.9735367224580821
24.4,0.999999851294943,0.9743615912369996
24.5,0.9999998879028489,0.9751613751301688
24.6,0.9999999158438554,0.9759365972037574
24.700000000000003,0.9999999370969553,0.9766889100146185
24.8,0.9999999532062827,0.9774201100374978
24.9,0.9999999653691356,0.978131839900159
25.0,0.9999999745127387,0.9788255969561517
