replicate,group,ga,p
0,G2,15.6,0.6934540593912093
0,G2,15.7,0.6942660845620943
0,G2,15.8,0.6950773782429336
0,G2,15.9,0.69588793621308
0,G2,16.0,0.6966977738866891
0,G2,16.1,0.697506869468368
0,G2,16.2,0.6983151952804719
0,G2,16.3,0.699122775809273
0,G2,16.4,0.6999295996223176
0,G2,16.5,0.7007356640134682
0,G2,16.6,0.7015409830502883
0,G2,16.7,0.7023455350980843
0,G2,16.8,0.7031492913887282
0,G2,16.9,0.7039522785068838
0,G2,17.0,0.7047544838509207
0,G2,17.1,0.7055559068762502
0,G2,17.2,0.7063565595908484
0,G2,17.3,0.7071564204630578
0,G2,17.4,0.7079554605638995
0,G2,17.5,0.7087537076567952
0,G2,17.6,0.7095511482717155
0,G2,17.7,0.7103477841584727
0,G2,17.8,0.7111436250668672
0,G2,17.9,0.7119386492690686
0,G2,18.0,0.7127328288170822
0,G2,18.1,0.713526191519694
0,G2,18.2,0.7143187234114525
0,G2,18.3,0.7151104286662219
0,G2,18.4,0.7159013145805562
0,G2,18.5,0.7166913585260625
0,G2,18.6,0.7174805358914961
0,G2,18.7,0.7182688721821222
0,G2,18.8,0.7190563537161542
0,G2,18.9,0.7198429872177967
0,G2,19.0,0.7206287773390551
0,G2,19.1,0.7214137005847245
0,G2,19.2,0.7221977355989744
0,G2,19.3,0.7229809057193525
0,G2,19.4,0.7237631981043438
0,G2,19.5,0.7245446211949069
0,G2,19.6,0.7253251772035813
0,G2,19.7,0.7261048415918219
0,G2,19.8,0.7268835968493834
0,G2,19.9,0.7276614637481144
0,G2,20.0,0.7284384300888239
0,G2,20.1,0.729214507081341
0,G2,20.2,0.7299896929953127
0,G2,20.3,0.7307639629219712
0,G2,20.4,0.7315373040301114
0,G2,20.5,0.7323097331847982
0,G2,20.6,0.7330812394547437
0,G2,20.7,0.7338518367449264
0,G2,20.8,0.7346215195400467
0,G2,20.9,0.735390262386905
0,G2,21.0,0.736158057260764
0,G2,21.1,0.7369249164917895
0,G2,21.2,0.7376908318188171
0,G2,21.3,0.7384558185584088
0,G2,21.4,0.7392198679740185
0,G2,21.5,0.7399829533096761
0,G2,21.6,0.7407450730514957
0,G2,21.7,0.7415062333760463
0,G2,21.8,0.7422664292660232
0,G2,21.9,0.7430256775077277
0,G2,22.0,0.7437839660066315
0,G2,22.1,0.744541266689551
0,G2,22.2,0.745297584021997
0,G2,22.3,0.7460529200906423
0,G2,22.4,0.7468072709230114
0,G2,22.5,0.7475606556033938
0,G2,22.6,0.7483130585475534
0,G2,22.7,0.7490644503523659
0,G2,22.8,0.7498148414730739
0,G2,22.9,0.7505642303238146
0,G2,23.0,0.7513126134290472
0,G2,23.1,0.7520600124454706
0,G2,23.2,0.7528064078458728
0,G2,23.3,0.7535517698663363
0,G2,23.4,0.7542961137464729
0,G2,23.5,0.7550394354852753
0,G2,23.6,0.7557817313915811
0,G2,23.7,0.7565230252181308
0,G2,23.8,0.7572632947106441
0,G2,23.9,0.758002508989775
0,G2,24.0,0.7587406880572322
0,G2,24.1,0.7594778253563071
0,G2,24.2,0.7602139178260188
0,G2,24.3,0.7609489904017749
0,G2,24.4,0.7616830180340758
0,G2,24.5,0.7624159701028066
0,G2,24.6,0.7631478699294748
0,G2,24.7,0.7638787089033932
0,G2,24.8,0.7646084845792726
0,G2,24.9,0.7653372226190046
0,G2,25.0,0.7660648961026808
1,G1,10.0,0.7806094205088419
1,G1,10.1,0.7811049306266148
1,G1,10.2,0.781599896400485
1,G1,10.3,0.7820943000373214
1,G1,10.4,0.7825881133180167
1,G1,10.5,0.7830813966447325
1,G1,10.6,0.7835740753706757
1,G1,10.7,0.7840662078400363
1,G1,10.8,0.7845577706711285
1,G1,10.9,0.7850487399724332
1,G1,11.0,0.785539174583952
1,G1,11.1,0.7860289994075378
1,G1,11.2,0.7865182763627622
1,G1,11.3,0.7870069756873356
1,G1,11.4,0.7874950792134954
1,G1,11.5,0.7879826428714714
1,G1,11.6,0.7884695917847382
1,G1,11.7,0.7889559913739865
1,G1,11.8,0.7894418051821609
1,G1,11.9,0.7899270214465849
1,G1,12.0,0.7904116924861848
1,G1,12.1,0.790895744230466
1,G1,12.2,0.7913792449275554
1,G1,12.3,0.7918621517290683
1,G1,12.4,0.7923444598765536
1,G1,12.5,0.7928262169409606
1,G1,12.6,0.7933073507887748
1,G1,12.7,0.7937879315028136
1,G1,12.8,0.7942679104489994
1,G1,12.9,0.7947472901706132
1,G1,13.0,0.7952261123602847
1,G1,13.1,0.7957043082938364
1,G1,13.2,0.7961819481322566
1,G1,13.3,0.7966589791613978
1,G1,13.4,0.7971354104661954
1,G1,13.5,0.7976112778207433
1,G1,13.6,0.7980865156554149
1,G1,13.7,0.7985611948289312
1,G1,13.8,0.7990352583572587
1,G1,13.9,0.7995087216605098
1,G1,14.0,0.7999816146418377
1,G1,14.1,0.80045387495809
1,G1,14.2,0.800925574147605
1,G1,14.3,0.8013966508374525
1,G1,14.4,0.8018671271815818
1,G1,14.5,0.8023370267943895
1,G1,14.6,0.8028062908454469
1,G1,14.7,0.8032749912349632
1,G1,14.8,0.8037430623506189
1,G1,14.9,0.8042105331371896
1,G1,15.0,0.804677420674959
1,G1,15.1,0.8051436702629698
1,G1,15.2,0.8056093534750387
1,G1,15.3,0.8060744008974695
1,G1,15.4,0.8065388481151389
1,G1,15.5,0.8070027056470427
1,G1,15.6,0.8074659228713976
1,G1,15.7,0.8079285711981942
1,G1,15.8,0.8083905773818852
1,G1,15.9,0.80885198339005
1,G1,16.0,0.8093127935842694
1,G1,16.1,0.8097729612280608
1,G1,16.2,0.8102325571206391
1,G1,16.3,0.8106915051252364
1,G1,16.4,0.8111498531554899
1,G1,16.5,0.8116075991687919
1,G1,16.6,0.8120647002921664
1,G1,16.7,0.8125212270562434
1,G1,16.8,0.8129771004438926
1,G1,16.9,0.8134323742000038
1,G1,17.0,0.8138870394541479
1,G1,17.1,0.8143410579923762
1,G1,17.2,0.8147944993890012
1,G1,17.3,0.8152472821140979
1,G1,17.4,0.815699465922999
1,G1,17.5,0.8161510345715653
1,G1,17.6,0.8166019549732537
1,G1,17.7,0.8170522949039066
1,G1,17.8,0.817501972034653
1,G1,17.9,0.8179510503592027
1,G1,18.0,0.8183995071702019
1,G1,18.1,0.8188473142345519
1,G1,18.2,0.8192945374386724
1,G1,18.3,0.8197410944232469
1,G1,18.4,0.820187052422488
1,G1,18.5,0.8206323825234575
1,G1,18.6,0.8210770618801478
1,G1,18.7,0.8215211538934214
1,G1,18.8,0.8219645761776219
1,G1,18.9,0.8224073998068248
1,G1,19.0,0.8228495886117148
1,G1,19.1,0.8232911266309434
1,G1,19.2,0.8237320732982899
1,G1,19.3,0.8241723472705281
1,G1,19.4,0.8246120227167936
1,G1,19.5,0.8250510564438256
1,G1,19.6,0.8254894397725824
1,G1,19.7,0.8259272276721866
1,G1,19.8,0.8263643402013952
1,G1,19.9,0.8268008541046002
1,G1,20.0,0.8272367195024611
1,G1,20.1,0.8276719356791193
1,G1,20.2,0.8281065515176229
1,G1,20.3,0.8285404903143898
1,G1,20.4,0.8289738297158732
1,G1,20.5,0.8294065142739379
1,G1,20.6,0.8298385510926204
1,G1,20.7,0.8302699824540803
1,G1,20.8,0.8307007355846286
1,G1,20.9,0.8311308879399233
1,G1,21.0,0.8315603799684697
1,G1,21.1,0.8319892257635358
1,G1,21.2,0.8324174609029766
1,G1,21.3,0.8328450165099741
1,G1,21.4,0.8332719703451363
1,G1,21.5,0.8336982585650322
1,G1,21.6,0.834123902036802
1,G1,21.7,0.8345489298968612
1,G1,21.8,0.8349732769627083
1,G1,21.9,0.8353970213208437
1,G1,22.0,0.8358200946860734
1,G1,22.1,0.8362425252722288
1,G1,22.2,0.8366643350261427
1,G1,22.3,0.8370854632455123
1,G1,22.4,0.8375059876556382
1,G1,22.5,0.8379258358969031
1,G1,22.6,0.8383450432715479
1,G1,22.7,0.8387636247980331
1,G1,22.8,0.8391815242662688
1,G1,22.9,0.8395988187516534
1,G1,23.0,0.8400154322202417
1,G1,23.1,0.8404314067752856
1,G1,23.2,0.8408467505220807
1,G1,23.3,0.8412614117873325
1,G1,23.4,0.841675467015806
1,G1,23.5,0.8420888366045199
1,G1,23.6,0.8425015691664863
1,G1,23.7,0.8429136662637503
1,G1,23.8,0.8433250805295673
1,G1,23.9,0.8437358874057089
1,G1,24.0,0.8441460045767251
1,G1,24.1,0.8445554869202034
1,G1,24.2,0.84496432893132
1,G1,24.3,0.8453724877174177
1,G1,24.4,0.8457800379949623
1,G1,24.5,0.84618689484499
1,G1,24.6,0.8465931191522399
1,G1,24.7,0.8469986979359436
1,G1,24.8,0.847403593713389
1,G1,24.9,0.8478078795077806
1,G1,25.0,0.8482114686283415
1,G2,10.0,0.6568393675984812
1,G2,10.1,0.6574307079987756
1,G2,10.2,0.6580217655455104
1,G2,10.3,0.6586125506462117
1,G2,10.4,0.6592030680619246
1,G2,10.5,0.6597932891845671
1,G2,10.6,0.660383247054374
1,G2,10.7,0.6609729115835459
1,G2,10.8,0.6615622985960642
1,G2,10.9,0.6621514087677567
1,G2,11.0,0.6627402141655535
1,G2,11.1,0.6633287510893517
1,G2,11.2,0.6639169837944904
1,G2,11.3,0.6645049340372025
1,G2,11.4,0.6650925982305765
1,G2,11.5,0.6656799492173874
1,G2,11.6,0.6662670266299201
1,G2,11.7,0.6668537889115641
1,G2,11.8,0.6674402639102386
1,G2,11.9,0.6680264436006542
1,G2,12.0,0.6686123017021015
1,G2,12.1,0.669197881092682
1,G2,12.2,0.6697831347245978
1,G2,12.3,0.6703680960913206
1,G2,12.4,0.6709527528244263
1,G2,12.5,0.6715370800638325
1,G2,12.6,0.6721211220992225
1,G2,12.7,0.6727048301224503
1,G2,12.8,0.6732882393816969
1,G2,12.9,0.6738713349850401
1,G2,13.0,0.6744540938710579
1,G2,13.1,0.6750365604336668
1,G2,13.2,0.6756186851343358
1,G2,13.3,0.6762005044379461
1,G2,13.4,0.6767820009474541
1,G2,13.5,0.6773631538585112
1,G2,13.6,0.6779440072230739
1,G2,13.7,0.6785245105221911
1,G2,13.8,0.679104702703169
1,G2,13.9,0.6796845621189065
1,G2,14.0,0.6802640719687644
1,G2,14.1,0.6808432746564542
1,G2,14.2,0.6814221191525525
1,G2,14.3,0.6820006462664379
1,G2,14.4,0.6825788318113131
1,G2,14.5,0.6831566613934695
1,G2,14.6,0.6837341761801082
1,G2,14.7,0.684311324728395
1,G2,14.8,0.6848881496315187
1,G2,14.9,0.685464623901959
1,G2,15.0,0.6860407366142365
1,G2,15.1,0.6866165265384377
1,G2,15.2,0.6871919422589082
1,G2,15.3,0.6877670275640979
1,G2,15.4,0.6883417534144307
1,G2,15.5,0.688916113443151
1,G2,15.6,0.689490141814383
1,G2,15.7,0.69006378811426
1,G2,15.8,0.6906370968380641
1,G2,15.9,0.6912100374052014
1,G2,16.0,0.6917826090629061
1,G2,16.1,0.6923548392487248
1,G2,16.2,0.6929266800553562
1,G2,16.3,0.6934981756722141
1,G2,16.4,0.6940692948224965
1,G2,16.5,0.6946400420665475
1,G2,16.6,0.695210437360746
1,G2,16.7,0.6957804371939643
1,G2,16.8,0.6963500836709918
1,G2,16.9,0.6969193454498683
1,G2,17.0,0.6974882320663542
1,G2,17.1,0.6980567562779526
1,G2,17.2,0.6986248792886605
1,G2,17.3,0.6991926417686606
1,G2,17.4,0.6997600105192132
1,G2,17.5,0.700327000864496
1,G2,17.6,0.7008936184135879
1,G2,17.7,0.7014598288231366
1,G2,17.8,0.7020256724087557
1,G2,17.9,0.7025911127819401
1,G2,18.0,0.7031561712979897
1,G2,18.1,0.7037208472876186
1,G2,18.2,0.7042851091116907
1,G2,18.3,0.704848999584889
1,G2,18.4,0.7054124765471438
1,G2,18.5,0.705975567989439
1,G2,18.6,0.7065382678422698
1,G2,18.7,0.7071005459631438
1,G2,18.8,0.7076624488785694
1,G2,18.9,0.7082239277193362
1,G2,19.0,0.708785017510883
1,G2,19.1,0.70934570663015
1,G2,19.2,0.7099059665279227
1,G2,19.3,0.7104658474965818
1,G2,19.4,0.7110252938357348
1,G2,19.5,0.7115843477297231
1,G2,19.6,0.7121429918208236
1,G2,19.7,0.7127011993406123
1,G2,19.8,0.7132590236718438
1,G2,19.9,0.7138164041030952
1,G2,20.0,0.7143733877171848
1,G2,20.1,0.71492995275886
1,G2,20.2,0.7154860746272215
1,G2,20.3,0.7160418072916026
1,G2,20.4,0.7165970894340828
1,G2,20.5,0.7171519687444479
1,G2,20.6,0.7177064209581877
1,G2,20.7,0.718260424341274
1,G2,20.8,0.7188140319234073
1,G2,20.9,0.7193671822934776
1,G2,21.0,0.7199199242326807
1,G2,21.1,0.720472230242416
1,G2,21.2,0.7210240821994207
1,G2,21.3,0.7215755316407615
1,G2,21.4,0.7221265168731745
1,G2,21.5,0.7226770887260915
1,G2,21.6,0.7232272154834916
1,G2,21.7,0.7237768837165706
1,G2,21.8,0.7243261423224024
1,G2,21.9,0.7248749298268067
1,G2,22.0,0.7254232985679424
1,G2,22.1,0.725971214079437
1,G2,22.2,0.7265186662405314
1,G2,22.3,0.7270657016868415
1,G2,22.4,0.7276122592451776
1,G2,22.5,0.7281583924901059
1,G2,22.6,0.7287040640988699
1,G2,22.7,0.7292492689861485
1,G2,22.8,0.729794049326403
1,G2,22.9,0.7303383450996441
1,G2,23.0,0.7308822102340925
1,G2,23.1,0.7314256060007657
1,G2,23.2,0.7319685330689416
1,G2,23.3,0.7325110267407585
1,G2,23.4,0.7330530292088413
1,G2,23.5,0.7335945945519176
1,G2,23.6,0.7341356829159716
1,G2,23.7,0.7346763015382247
1,G2,23.8,0.7352164768673114
1,G2,23.9,0.7357561553969085
1,G2,24.0,0.7362953897299312
1,G2,24.1,0.7368341399953805
1,G2,24.2,0.7373724193644638
1,G2,24.3,0.7379102448524246
1,G2,24.4,0.738447569376116
1,G2,24.5,0.7389844422168731
1,G2,24.6,0.7395208238526487
1,G2,24.7,0.7400567329331914
1,G2,24.8,0.7405921779728011
1,G2,24.9,0.7411271178645621
1,G2,25.0,0.7416616002419375
2,G1,10.0,0.7810283569859806
2,G1,10.1,0.7822352564354822
2,G1,10.2,0.7834388083169856
2,G1,10.3,0.7846390001553573
2,G1,10.4,0.7858358183746458
2,G1,10.5,0.7870292454948146
2,G1,10.6,0.7882192664843835
2,G1,10.7,0.7894058586358885
2,G1,10.8,0.790589008395924
2,G1,10.9,0.7917687175663947
2,G1,11.0,0.7929449804646559
2,G1,11.1,0.7941177796522976
2,G1,11.2,0.7952871040217246
2,G1,11.3,0.7964529385216425
2,G1,11.4,0.7976152663395532
2,G1,11.5,0.7987740609914266
2,G1,11.6,0.7999293290741581
2,G1,11.7,0.8010810663178608
2,G1,11.8,0.8022292614165522
2,G1,11.9,0.8033739041531551
2,G1,12.0,0.8045149779252405
2,G1,12.1,0.8056524710146709
2,G1,12.2,0.8067863599974862
2,G1,12.3,0.8079166378579055
2,G1,12.4,0.809043306926945
2,G1,12.5,0.8101663630724495
2,G1,12.6,0.8112857929808103
2,G1,12.7,0.8124015856544934
2,G1,12.8,0.8135137295087967
2,G1,12.9,0.8146222084075221
2,G1,13.0,0.8157269986003122
2,G1,13.1,0.8168281107446986
2,G1,13.2,0.817925542194753
2,G1,13.3,0.819019283039132
2,G1,13.4,0.8201093261753039
2,G1,13.5,0.8211956565406477
2,G1,13.6,0.8222782652755771
2,G1,13.7,0.823357128909511
2,G1,13.8,0.8244322463900581
2,G1,13.9,0.8255036209993913
2,G1,14.0,0.826571250569748
2,G1,14.1,0.8276351250696862
2,G1,14.2,0.8286952345221804
2,G1,14.3,0.829751569967222
2,G1,14.4,0.8308041166789821
2,G1,14.5,0.8318528543404172
2,G1,14.6,0.83289779632012
2,G1,14.7,0.8339389426502275
2,G1,14.8,0.8349762844301101
2,G1,14.9,0.8360098176234192
2,G1,15.0,0.8370395291517413
2,G1,15.1,0.8380654123131521
2,G1,15.2,0.8390874450211037
2,G1,15.3,0.8401056310023812
2,G1,15.4,0.8411199745772231
2,G1,15.5,0.8421304764692296
2,G1,15.6,0.8431371287610842
2,G1,15.7,0.8441399231580695
2,G1,15.8,0.845138853137865
2,G1,15.9,0.8461339052881547
2,G1,16.0,0.8471250643650922
2,G1,16.1,0.8481123441059796
2,G1,16.2,0.849095748541026
2,G1,16.3,0.8500752694746
2,G1,16.4,0.8510509055300042
2,G1,16.5,0.8520226466230918
2,G1,16.6,0.8529904869305666
2,G1,16.7,0.8539544067298869
2,G1,16.8,0.8549144147526362
2,G1,16.9,0.8558705154048976
2,G1,17.0,0.8568227127254492
2,G1,17.1,0.8577710005011853
2,G1,17.2,0.8587153727900257
2,G1,17.3,0.8596558248659274
2,G1,17.4,0.8605923453100327
2,G1,17.5,0.8615249233874492
2,G1,17.6,0.8624535738605243
2,G1,17.7,0.8633783035376051
2,G1,17.8,0.8642991060579784
2,G1,17.9,0.8652159815568792
2,G1,18.0,0.8661289238506842
2,G1,18.1,0.8670379274343261
2,G1,18.2,0.86794297519108
2,G1,18.3,0.8688440806739265
2,G1,18.4,0.8697412489562643
2,G1,18.5,0.870634486019682
2,G1,18.6,0.8715237880740363
2,G1,18.7,0.8724091514296666
2,G1,18.8,0.8732905730601178
2,G1,18.9,0.8741680430560559
2,G1,19.0,0.8750415565658628
2,G1,19.1,0.8759111281004265
2,G1,19.2,0.876776767110843
2,G1,19.3,0.8776384694462626
2,G1,19.4,0.8784962363739842
2,G1,19.5,0.8793500654001493
2,G1,19.6,0.8801999522315723
2,G1,19.7,0.8810458813081402
2,G1,19.8,0.8818878709646838
2,G1,19.9,0.8827259275582088
2,G1,20.0,0.8835600580742073
2,G1,20.1,0.8843902613901193
2,G1,20.2,0.8852165357912285
2,G1,20.3,0.8860388807371753
2,G1,20.4,0.8868572864108724
2,G1,20.5,0.8876717548502769
2,G1,20.6,0.8884822997827067
2,G1,20.7,0.889288932580274
2,G1,20.8,0.89009165263929
2,G1,20.9,0.8908904609766808
2,G1,21.0,0.8916853589083396
2,G1,21.1,0.8924763432998034
2,G1,21.2,0.8932634009787551
2,G1,21.3,0.8940465534830171
2,G1,21.4,0.8948258092291358
2,G1,21.5,0.8956011754310274
2,G1,21.6,0.8963726542397545
2,G1,21.7,0.8971402452309196
2,G1,21.8,0.8979039507902896
2,G1,21.9,0.8986637605558332
2,G1,22.0,0.8994196832258153
2,G1,22.1,0.9001717320845278
2,G1,22.2,0.9009199201257543
2,G1,22.3,0.901664249506709
2,G1,22.4,0.9024047221466966
2,G1,22.5,0.9031413420108579
2,G1,22.6,0.9038741066892646
2,G1,22.7,0.904603006694146
2,G1,22.8,0.9053280654979241
2,G1,22.9,0.9060492935351918
2,G1,23.0,0.9067666985661592
2,G1,23.1,0.9074802851159329
2,G1,23.2,0.908190054492403
2,G1,23.3,0.9088960112524364
2,G1,23.4,0.9095981458290798
2,G1,23.5,0.910296471433712
2,G1,23.6,0.9109910017187594
2,G1,23.7,0.9116817514388048
2,G1,23.8,0.9123687244869022
2,G1,23.9,0.9130519240920664
2,G1,24.0,0.9137313559657952
2,G1,24.1,0.9144070192660493
2,G1,24.2,0.9150789084968914
2,G1,24.3,0.9157470470036235
2,G1,24.4,0.916411448550649
2,G1,24.5,0.9170721204694332
2,G1,24.6,0.9177290698005086
2,G1,24.7,0.9183822997245531
2,G1,24.8,0.9190318156378721
2,G1,24.9,0.9196776101164585
2,G1,25.0,0.9203197002221017
2,G2,10.0,0.601765216662929
2,G2,10.1,0.6032408945003074
2,G2,10.2,0.6047158144553415
2,G2,10.3,0.6061899644370288
2,G2,10.4,0.6076633246923853
2,G2,10.5,0.6091358746270016
2,G2,10.6,0.6106075737398282
2,G2,10.7,0.6120784048919247
2,G2,10.8,0.6135483537157428
2,G2,10.9,0.61501738101066
2,G2,11.0,0.6164854728429188
2,G2,11.1,0.6179526078037942
2,G2,11.2,0.6194187721497476
2,G2,11.3,0.6208839336238776
2,G2,11.4,0.6223480578589692
2,G2,11.5,0.6238111327921266
2,G2,11.6,0.6252731352762537
2,G2,11.7,0.626734029875316
2,G2,11.8,0.6281938049148306
2,G2,11.9,0.6296524469147862
2,G2,12.0,0.6311099319282664
2,G2,12.1,0.632566217348733
2,G2,12.2,0.6340212880721092
2,G2,12.3,0.6354751297003969
2,G2,12.4,0.6369277010876584
2,G2,12.5,0.638378991209179
