replicate,K,boundary_slot,selected_boundary
219,5,4,35.5
220,5,1,31.0
220,5,2,32.5
220,5,3,33.5
220,5,4,35.0
221,5,1,31.5
221,5,2,32.5
221,5,3,33.5
221,5,4,35.5
222,5,1,31.0
222,5,2,32.0
222,5,3,33.5
222,5,4,35.0
223,5,1,31.0
223,5,2,32.0
223,5,3,33.5
223,5,4,35.0
224,5,1,31.0
224,5,2,32.5
224,5,3,33.5
224,5,4,35.0
225,5,1,31.0
225,5,2,32.0
225,5,3,33.5
225,5,4,35.0
226,5,1,31.0
226,5,2,32.5
226,5,3,34.0
226,5,4,35.5
227,5,1,31.0
227,5,2,32.0
227,5,3,33.5
227,5,4,35.0
228,5,1,31.0
228,5,2,32.5
228,5,3,33.5
228,5,4,35.0
229,5,1,31.0
229,5,2,32.0
229,5,3,33.5
229,5,4,35.0
230,5,1,31.0
230,5,2,32.0
230,5,3,33.0
230,5,4,34.5
231,5,1,31.0
231,5,2,32.0
231,5,3,33.5
231,5,4,35.0
232,5,1,31.0
232,5,2,32.0
232,5,3,33.5
232,5,4,35.0
233,5,1,31.0
233,5,2,32.5
233,5,3,33.5
233,5,4,35.0
234,5,1,31.0
234,5,2,32.0
234,5,3,33.0
234,5,4,35.0
235,5,1,31.0
235,5,2,32.5
235,5,3,33.5
235,5,4,35.0
236,5,1,31.0
236,5,2,32.0
236,5,3,33.5
236,5,4,35.5
237,5,1,31.0
237,5,2,32.0
237,5,3,33.0
237,5,4,35.0
238,5,1,31.0
238,5,2,32.5
238,5,3,33.5
238,5,4,35.0
239,5,1,31.0
239,5,2,32.5
239,5,3,33.5
239,5,4,35.0
240,5,1,31.0
240,5,2,32.5
240,5,3,33.5
240,5,4,35.0
241,5,1,31.0
241,5,2,32.5
241,5,3,33.5
241,5,4,35.0
242,5,1,31.0
242,5,2,32.5
242,5,3,33.5
242,5,4,35.5
243,5,1,31.0
243,5,2,32.0
243,5,3,33.5
243,5,4,34.5
244,5,1,31.0
244,5,2,32.0
244,5,3,33.5
244,5,4,35.0
245,5,1,31.0
245,5,2,32.5
245,5,3,33.5
245,5,4,35.0
246,5,1,31.0
246,5,2,32.0
246,5,3,33.5
246,5,4,35.0
247,5,1,31.0
247,5,2,32.0
247,5,3,33.5
247,5,4,35.0
248,5,1,31.0
248,5,2,32.5
248,5,3,34.0
248,5,4,35.5
249,5,1,31.0
249,5,2,32.0
249,5,3,33.5
249,5,4,35.0
250,5,1,31.0
250,5,2,32.5
250,5,3,33.5
250,5,4,35.0
251,5,1,31.0
251,5,2,32.0
251,5,3,33.5
251,5,4,35.5
252,5,1,31.0
252,5,2,32.0
252,5,3,33.5
252,5,4,35.0
253,5,1,31.0
253,5,2,32.0
253,5,3,33.5
253,5,4,35.5
254,5,1,31.0
254,5,2,32.5
254,5,3,33.5
254,5,4,35.0
255,5,1,31.0
255,5,2,32.5
255,5,3,33.5
255,5,4,35.5
256,5,1,31.0
256,5,2,32.5
256,5,3,33.5
256,5,4,35.0
257,5,1,31.0
257,5,2,32.5
257,5,3,33.5
257,5,4,35.0
258,5,1,31.0
258,5,2,32.0
258,5,3,33.5
258,5,4,35.0
259,5,1,31.0
259,5,2,32.5
259,5,3,34.0
259,5,4,35.5
260,5,1,31.0
260,5,2,32.5
260,5,3,33.5
260,5,4,35.0
261,5,1,31.0
261,5,2,32.0
261,5,3,33.5
261,5,4,35.5
262,5,1,31.0
262,5,2,32.0
262,5,3,33.5
262,5,4,35.5
263,5,1,31.0
263,5,2,32.0
263,5,3,33.5
263,5,4,35.0
264,5,1,31.0
264,5,2,32.5
264,5,3,33.5
264,5,4,35.0
265,5,1,31.0
265,5,2,32.5
265,5,3,33.5
265,5,4,35.0
266,5,1,31.0
266,5,2,32.0
266,5,3,33.0
266,5,4,34.5
267,5,1,31.0
267,5,2,32.0
267,5,3,33.5
267,5,4,35.0
268,5,1,31.0
268,5,2,32.5
268,5,3,33.5
268,5,4,35.0
269,5,1,31.0
269,5,2,32.0
269,5,3,33.5
269,5,4,35.0
270,5,1,31.0
270,5,2,32.5
270,5,3,33.5
270,5,4,35.0
271,5,1,31.0
271,5,2,32.0
271,5,3,33.5
271,5,4,34.5
272,5,1,31.0
272,5,2,32.5
272,5,3,33.5
272,5,4,35.0
273,5,1,31.0
273,5,2,32.0
273,5,3,33.5
273,5,4,35.0
274,5,1,31.5
274,5,2,33.0
274,5,3,34.0
274,5,4,35.5
275,5,1,31.0
275,5,2,32.0
275,5,3,33.5
275,5,4,35.0
276,5,1,31.0
276,5,2,32.0
276,5,3,33.5
276,5,4,35.5
277,5,1,31.0
277,5,2,32.0
277,5,3,33.5
277,5,4,35.5
278,5,1,31.0
278,5,2,32.5
278,5,3,33.5
278,5,4,35.0
279,5,1,31.0
279,5,2,32.0
279,5,3,33.5
279,5,4,35.5
280,5,1,30.5
280,5,2,31.5
280,5,3,33.0
280,5,4,35.0
281,5,1,31.0
281,5,2,32.5
281,5,3,33.5
281,5,4,35.0
282,5,1,31.0
282,5,2,32.5
282,5,3,34.0
282,5,4,35.0
283,5,1,31.0
283,5,2,32.0
283,5,3,33.0
283,5,4,35.0
284,5,1,31.0
284,5,2,32.5
284,5,3,34.0
284,5,4,35.5
285,5,1,31.0
285,5,2,32.0
285,5,3,33.5
285,5,4,35.5
286,5,1,31.0
286,5,2,32.0
286,5,3,33.0
286,5,4,35.0
287,5,1,31.0
287,5,2,32.5
287,5,3,33.5
287,5,4,35.0
288,5,1,31.0
288,5,2,32.5
288,5,3,33.5
288,5,4,35.0
289,5,1,31.0
289,5,2,32.0
289,5,3,33.5
289,5,4,35.0
290,5,1,31.0
290,5,2,32.0
290,5,3,33.5
290,5,4,35.0
291,5,1,31.0
291,5,2,32.5
291,5,3,33.5
291,5,4,35.0
292,5,1,31.0
292,5,2,32.5
292,5,3,33.5
292,5,4,35.5
293,5,1,31.0
293,5,2,32.0
293,5,3,33.0
293,5,4,35.0
294,5,1,31.0
294,5,2,32.5
294,5,3,33.5
294,5,4,35.0
295,5,1,31.0
295,5,2,32.5
295,5,3,33.5
295,5,4,34.5
296,5,1,31.0
296,5,2,32.5
296,5,3,33.5
296,5,4,35.0
297,5,1,31.0
297,5,2,32.5
297,5,3,33.5
297,5,4,35.0
298,5,1,31.0
298,5,2,32.0
298,5,3,33.5
298,5,4,35.0
299,5,1,31.0
299,5,2,32.0
299,5,3,33.5
299,5,4,35.0
