row,type,value
333,ga_date_crosscheck_gt_1_week,-2.2857142857142865
334,ga_date_crosscheck_gt_1_week,-1.5714285714285694
341,ga_date_crosscheck_gt_1_week,-1.4285714285714306
342,ga_date_crosscheck_gt_1_week,-1.4285714285714306
344,ga_date_crosscheck_gt_1_week,-1.4285714285714306
345,ga_date_crosscheck_gt_1_week,-1.4285714285714306
355,ga_date_crosscheck_gt_1_week,-1.2857142857142847
357,ga_date_crosscheck_gt_1_week,-1.1428571428571423
362,ga_date_crosscheck_gt_1_week,-1.4285714285714306
364,ga_date_crosscheck_gt_1_week,-1.2857142857142847
369,ga_date_crosscheck_gt_1_week,-1.571428571428573
372,ga_date_crosscheck_gt_1_week,-1.5714285714285694
373,ga_date_crosscheck_gt_1_week,-1.8571428571428577
374,ga_date_crosscheck_gt_1_week,-1.8571428571428577
377,ga_date_crosscheck_gt_1_week,-2.0
378,ga_date_crosscheck_gt_1_week,-1.571428571428573
379,ga_date_crosscheck_gt_1_week,-2.0
380,ga_date_crosscheck_gt_1_week,-2.0
386,ga_date_crosscheck_gt_1_week,-1.5714285714285712
390,ga_date_crosscheck_gt_1_week,-1.2857142857142883
391,ga_date_crosscheck_gt_1_week,-1.7142857142857153
396,ga_date_crosscheck_gt_1_week,-2.2857142857142847
397,ga_date_crosscheck_gt_1_week,-2.428571428571429
398,ga_date_crosscheck_gt_1_week,-2.2857142857142847
399,ga_date_crosscheck_gt_1_week,-2.4285714285714306
411,ga_date_crosscheck_gt_1_week,-1.142857142857146
418,ga_date_crosscheck_gt_1_week,-1.0000000000000018
433,ga_date_crosscheck_gt_1_week,-1.2857142857142865
434,ga_date_crosscheck_gt_1_week,-1.142857142857146
436,ga_date_crosscheck_gt_1_week,-1.7142857142857117
449,ga_date_crosscheck_gt_1_week,-3.1428571428571423
450,ga_date_crosscheck_gt_1_week,-3.428571428571427
451,ga_date_crosscheck_gt_1_week,-3.1428571428571423
452,ga_date_crosscheck_gt_1_week,-3.428571428571427
470,ga_date_crosscheck_gt_1_week,-1.2857142857142847
473,ga_date_crosscheck_gt_1_week,-1.2857142857142847
476,ga_date_crosscheck_gt_1_week,-1.7142857142857153
479,ga_date_crosscheck_gt_1_week,-1.8571428571428577
480,ga_date_crosscheck_gt_1_week,-1.7142857142857153
481,ga_date_crosscheck_gt_1_week,-1.8571428571428577
482,ga_date_crosscheck_gt_1_week,-1.571428571428573
489,ga_date_crosscheck_gt_1_week,-1.7142857142857153
490,ga_date_crosscheck_gt_1_week,-1.7142857142857117
491,ga_date_crosscheck_gt_1_week,-1.5714285714285694
493,ga_date_crosscheck_gt_1_week,-1.1428571428571423
495,ga_date_crosscheck_gt_1_week,-1.2857142857142847
496,ga_date_crosscheck_gt_1_week,-1.2857142857142847
497,ga_date_crosscheck_gt_1_week,-1.571428571428573
507,ga_date_crosscheck_gt_1_week,-4.7142857142857135
508,ga_date_crosscheck_gt_1_week,-4.7142857142857135
509,ga_date_crosscheck_gt_1_week,-4.857142857142858
510,ga_date_crosscheck_gt_1_week,-5.142857142857142
519,ga_date_crosscheck_gt_1_week,-1.1428571428571423
520,ga_date_crosscheck_gt_1_week,-2.428571428571429
521,ga_date_crosscheck_gt_1_week,-3.0
522,ga_date_crosscheck_gt_1_week,-3.571428571428573
523,ga_date_crosscheck_gt_1_week,-2.7142857142857153
528,ga_date_crosscheck_gt_1_week,-1.4285714285714288
529,ga_date_crosscheck_gt_1_week,-1.428571428571427
530,ga_date_crosscheck_gt_1_week,-1.142857142857146
540,ga_date_crosscheck_gt_1_week,-2.428571428571427
541,ga_date_crosscheck_gt_1_week,-3.0
542,ga_date_crosscheck_gt_1_week,-3.0
548,ga_date_crosscheck_gt_1_week,-1.428571428571427
555,ga_date_crosscheck_gt_1_week,-1.2857142857142865
562,ga_date_crosscheck_gt_1_week,-1.7142857142857153
575,ga_date_crosscheck_gt_1_week,-1.8571428571428577
576,ga_date_crosscheck_gt_1_week,-2.2857142857142883
577,ga_date_crosscheck_gt_1_week,-2.8571428571428577
578,ga_date_crosscheck_gt_1_week,-2.0
579,ga_date_crosscheck_gt_1_week,-2.4285714285714306
622,ga_date_crosscheck_gt_1_week,-9.571428571428571
624,ga_date_crosscheck_gt_1_week,-2.1428571428571423
631,ga_date_crosscheck_gt_1_week,-1.1428571428571423
638,ga_date_crosscheck_gt_1_week,-1.1428571428571423
639,ga_date_crosscheck_gt_1_week,-1.1428571428571423
644,ga_date_crosscheck_gt_1_week,-4.0
645,ga_date_crosscheck_gt_1_week,-5.999999999999998
646,ga_date_crosscheck_gt_1_week,-6.142857142857144
655,ga_date_crosscheck_gt_1_week,27.857142857142854
656,ga_date_crosscheck_gt_1_week,-1.2857142857142883
657,ga_date_crosscheck_gt_1_week,-1.4285714285714306
667,ga_date_crosscheck_gt_1_week,-1.8571428571428577
668,ga_date_crosscheck_gt_1_week,-1.571428571428573
669,ga_date_crosscheck_gt_1_week,-1.571428571428573
670,ga_date_crosscheck_gt_1_week,-2.0
671,ga_date_crosscheck_gt_1_week,-1.8571428571428577
672,ga_date_crosscheck_gt_1_week,12.142857142857142
676,ga_date_crosscheck_gt_1_week,-1.571428571428573
678,ga_date_crosscheck_gt_1_week,-1.2857142857142883
