replicate,K,group,optimal_week_total_error
9,5,G4,12.02294998783388
9,5,G5,12.027019120968122
10,2,G1,12.003863755246654
10,2,G2,12.012727577229418
10,3,G1,12.00469970766589
10,3,G2,12.008564450795616
10,3,G3,12.013827659679313
10,4,G1,12.003863755246654
10,4,G2,12.008240262240781
10,4,G3,12.012870352805663
10,4,G4,12.01922243518469
10,5,G1,12.003863755246654
10,5,G2,12.0076298910536
10,5,G3,12.011791581583859
10,5,G4,12.016138697555892
10,5,G5,12.01922243518469
11,2,G1,12.038901581827462
11,2,G2,12.298757406823734
11,3,G1,12.029020720627377
11,3,G2,12.039870091025998
11,3,G3,12.298757406823734
11,4,G1,12.029020720627377
11,4,G2,12.033992846790639
11,4,G3,12.041143354212798
11,4,G4,12.298757406823734
11,5,G1,12.029020720627377
11,5,G2,12.033992846790639
11,5,G3,12.03848634493006
11,5,G4,12.04562060577543
11,5,G5,12.298757406823734
12,2,G1,12.042773658058781
12,2,G2,12.452362992958578
12,3,G1,12.042217027577454
12,3,G2,12.2735762008498
12,3,G3,12.453210245329256
12,4,G1,12.03499730017958
12,4,G2,12.043816009113506
12,4,G3,12.2735762008498
12,4,G4,12.453210245329256
12,5,G1,12.033594269485796
12,5,G2,12.03768138215667
12,5,G3,12.044656170538499
12,5,G4,12.2735762008498
12,5,G5,12.453210245329256
13,2,G1,12.047613033273082
13,2,G2,12.451810095200582
13,3,G1,12.046452341247848
13,3,G2,12.21629238009125
13,3,G3,12.452769138115208
13,4,G1,12.046452341247848
13,4,G2,12.188604379618516
13,4,G3,12.326539323945829
13,4,G4,12.454104453639617
13,5,G1,12.046056961102538
13,5,G2,12.14499616174677
13,5,G3,12.256811938701043
13,5,G4,12.396536455226157
13,5,G5,12.455137465241553
14,2,G1,12.113282311266271
14,2,G2,12.467050861431044
14,3,G1,12.049313401546218
14,3,G2,12.307753112572646
14,3,G3,12.468279296518828
14,4,G1,12.049313401546218
14,4,G2,12.307753112572646
14,4,G3,12.451794557757543
14,4,G4,12.470112204981193
14,5,G1,12.049313401546218
14,5,G2,12.307753112572646
14,5,G3,12.451794557757543
14,5,G4,12.45557773439682
14,5,G5,12.471696446338571
15,2,G1,12.039651189175641
15,2,G2,12.452304458349193
15,3,G1,12.039315274014003
15,3,G2,12.290297047585257
15,3,G3,12.454482671660179
15,4,G1,12.030545608003466
15,4,G2,12.041465434994125
15,4,G3,12.290297047585257
15,4,G4,12.454482671660179
15,5,G1,12.028122905233868
15,5,G2,12.032759572239971
15,5,G3,12.041465434994125
15,5,G4,12.290297047585257
15,5,G5,12.454482671660179
16,2,G1,12.03946352710576
16,2,G2,12.452920829650482
16,3,G1,12.039201846472391
16,3,G2,12.33565448959012
16,3,G3,12.455324124165188
16,4,G1,12.029993200359247
16,4,G2,12.041058530420207
16,4,G3,12.33565448959012
16,4,G4,12.455324124165188
16,5,G1,12.029993200359247
16,5,G2,12.039329203504062
16,5,G3,12.047491907483868
16,5,G4,12.33565448959012
16,5,G5,12.455324124165188
17,2,G1,12.157562450015108
17,2,G2,12.457224428686322
17,3,G1,12.157562450015108
17,3,G2,12.412000820767153
17,3,G3,12.458821092250844
17,4,G1,12.157562450015108
17,4,G2,12.412000820767153
17,4,G3,12.451500127994278
17,4,G4,12.459616474364253
17,5,G1,12.157562450015108
17,5,G2,12.412000820767153
17,5,G3,12.451500127994278
17,5,G4,12.456669607813033
17,5,G5,12.465196437116186
18,2,G1,12.458303676268006
18,2,G2,12.477221239529534
18,3,G1,12.460358577177981
18,3,G2,12.468547774753127
18,3,G3,12.480660899610532
18,4,G1,12.460358577177981
18,4,G2,12.474840071562177
18,4,G3,12.48494700129332
18,4,G4,12.488037609266517
18,5,G1,12.456302249110538
18,5,G2,12.470129998505845
18,5,G3,12.480474813647227
18,5,G4,12.483851654767694
18,5,G5,12.487549468751416
19,2,G1,12.457698223379296
19,2,G2,12.469080234037627
19,3,G1,12.455311278085889
19,3,G2,12.459842290650924
19,3,G3,12.469080234037627
19,4,G1,12.455311278085889
19,4,G2,12.459227922238895
19,4,G3,12.461560232450575
19,4,G4,12.47019551481778
19,5,G1,12.455311278085889
19,5,G2,12.459227922238895
19,5,G3,12.465908633569482
19,5,G4,12.472978392838002
19,5,G5,12.477563702273192
20,2,G1,12.00906548042231
20,2,G2,12.014421287098996
20,3,G1,12.00906548042231
20,3,G2,12.011280498296907
20,3,G3,12.015006951168143
20,4,G1,12.00906548042231
20,4,G2,12.011280498296907
20,4,G3,12.014323047628496
20,4,G4,12.018688935846942
20,5,G1,12.00906548042231
20,5,G2,12.011012677860872
20,5,G3,12.011865441411459
20,5,G4,12.01461820354363
20,5,G5,12.018688935846942
21,2,G1,12.120792449375518
21,2,G2,12.46230207295539
21,3,G1,12.120792449375518
21,3,G2,12.37163782542126
21,3,G3,12.463426761752311
21,4,G1,12.120792449375518
21,4,G2,12.37163782542126
21,4,G3,12.451739502920892
21,4,G4,12.465188247554146
21,5,G1,12.120792449375518
21,5,G2,12.37163782542126
21,5,G3,12.451739502920892
21,5,G4,12.462438059680796
21,5,G5,12.475556733074596
22,2,G1,11.980003414577522
22,2,G2,11.984670771064279
22,3,G1,11.978658483994465
22,3,G2,11.980268508541771
22,3,G3,11.984157329347907
22,4,G1,11.978658483994465
22,4,G2,11.980268508541771
22,4,G3,11.981029276468664
22,4,G4,11.984670771064279
22,5,G1,11.978658483994465
22,5,G2,11.980268508541771
22,5,G3,11.981029276468664
22,5,G4,11.984262676389848
22,5,G5,11.986676502391827
23,2,G1,12.011704883727734
23,2,G2,12.018556953082445
23,3,G1,12.009390792134658
23,3,G2,12.012984562415978
23,3,G3,12.018556953082445
23,4,G1,12.009390792134658
23,4,G2,12.015397740473508
23,4,G3,12.019794191770549
23,4,G4,12.023039947493897
23,5,G1,12.009390792134658
23,5,G2,12.012984562415978
23,5,G3,12.01420736069559
23,5,G4,12.017572309597217
23,5,G5,12.023996273074232
24,2,G1,12.047261552042828
24,2,G2,12.453448132614346
24,3,G1,12.046495748338828
24,3,G2,12.19962632633102
24,3,G3,12.453931117155166
24,4,G1,12.046495748338828
24,4,G2,12.19962632633102
24,4,G3,12.374083232545463
24,4,G4,12.455125510653302
24,5,G1,12.046062044966519
24,5,G2,12.138852908112716
24,5,G3,12.340458020808457
24,5,G4,12.45032337785932
24,5,G5,12.456946383443574
25,2,G1,12.422537322152944
25,2,G2,12.467951971786603
25,3,G1,12.422537322152944
25,3,G2,12.458154752366864
25,3,G3,12.471320154400576
25,4,G1,12.422537322152944
25,4,G2,12.456167908268883
25,4,G3,12.466118905696645
25,4,G4,12.477195591322877
25,5,G1,12.422537322152944
25,5,G2,12.456167908268883
25,5,G3,12.466118905696645
25,5,G4,12.475033806352844
25,5,G5,12.479315049528358
26,2,G1,11.978938422538967
26,2,G2,11.980601058719895
26,3,G1,11.97878072409332
26,3,G2,11.97950027188913
26,3,G3,11.980772091841038
26,4,G1,11.97878072409332
26,4,G2,11.97950027188913
26,4,G3,11.979864726994412
26,4,G4,11.980950001086887
26,5,G1,11.97878072409332
26,5,G2,11.97950027188913
26,5,G3,11.979864726994412
26,5,G4,11.980210900482316
26,5,G5,11.981162232332244
27,2,G1,11.995657584717689
27,2,G2,12.002334239463124
27,3,G1,11.994626868034683
27,3,G2,11.996765892351013
27,3,G3,12.002334239463124
27,4,G1,11.994626868034683
27,4,G2,11.996308540121637
27,4,G3,11.997223302531518
27,4,G4,12.002334239463124
27,5,G1,11.994626868034683
27,5,G2,11.996308540121637
27,5,G3,11.997223302531518
27,5,G4,11.99793217492876
27,5,G5,12.002932772849134
28,2,G1,12.068723638285618
28,2,G2,12.451429635453312
28,3,G1,12.049311785333652
28,3,G2,12.282985875689814
28,3,G3,12.4529075136098
28,4,G1,12.04839359719437
28,4,G2,12.11439251130578
28,4,G3,12.305375460758434
28,4,G4,12.4529075136098
28,5,G1,12.04839359719437
28,5,G2,12.11439251130578
28,5,G3,12.281975573557867
28,5,G4,12.40774071333557
28,5,G5,12.454143430296272
29,2,G1,11.996931802195311
29,2,G2,12.000852743653118
29,3,G1,11.996232046224137
29,3,G2,11.99754194383213
29,3,G3,12.000852743653118
29,4,G1,11.996232046224137
29,4,G2,11.99754194383213
29,4,G3,12.000160294495196
29,4,G4,12.00554037658201
29,5,G1,11.996232046224137
29,5,G2,11.99754194383213
29,5,G3,11.998572540005892
29,5,G4,12.000591286645927
29,5,G5,12.003452815662225
30,2,G1,12.008913429665348
30,2,G2,12.013018725596385
30,3,G1,12.008136233901045
30,3,G2,12.009690881669247
30,3,G3,12.013018725596385
30,4,G1,12.00743162628869
30,4,G2,12.009047656640302
30,4,G3,12.009909513950664
30,4,G4,12.013018725596385
30,5,G1,12.00743162628869
30,5,G2,12.009047656640302
30,5,G3,12.009909513950664
30,5,G4,12.010425417943805
30,5,G5,12.01339656354696
31,2,G1,12.302337822700576
31,2,G2,12.467573865283358
31,3,G1,12.302337822700576
31,3,G2,12.453059660677376
31,3,G3,12.470006270669476
31,4,G1,12.302337822700576
31,4,G2,12.453059660677376
31,4,G3,12.467329842985354
31,4,G4,12.483418888284938
31,5,G1,12.302337822700576
31,5,G2,12.453059660677376
31,5,G3,12.457529785279608
31,5,G4,12.460244864175449
31,5,G5,12.473578653343582
32,2,G1,12.031062444772639
32,2,G2,12.03681995836987
32,3,G1,12.02927436550572
32,3,G2,12.03185770095277
32,3,G3,12.03681995836987
32,4,G1,12.02927436550572
32,4,G2,12.031432945438342
32,4,G3,12.032315257986387
32,4,G4,12.03681995836987
32,5,G1,12.02927436550572
32,5,G2,12.031432945438342
32,5,G3,12.032315257986387
32,5,G4,12.033109958898079
32,5,G5,12.037334923012663
33,2,G1,12.022743531776477
33,2,G2,12.03652155662106
33,3,G1,12.020164894536357
33,3,G2,12.024839765906782
33,3,G3,12.03652155662106
33,4,G1,12.020164894536357
33,4,G2,12.023798818519506
33,4,G3,12.025797696797971
33,4,G4,12.03652155662106
33,5,G1,12.020164894536357
33,5,G2,12.023798818519506
33,5,G3,12.030679735873317
33,5,G4,12.038515317908669
33,5,G5,12.045495155916152
34,2,G1,12.452821703889784
34,2,G2,12.465506201612877
34,3,G1,12.452821703889784
34,3,G2,12.457261226164935
34,3,G3,12.466920605589763
34,4,G1,12.452821703889784
34,4,G2,12.457261226164935
34,4,G3,12.464682381379923
34,4,G4,12.474299734912817
34,5,G1,12.452821703889784
34,5,G2,12.456551290900611
34,5,G3,12.463182905005842
34,5,G4,12.468844672969269
34,5,G5,12.474502523074886
35,2,G1,11.952673977171191
35,2,G2,11.951765838164441
35,3,G1,11.952810619098013
35,3,G2,11.952643313473141
35,3,G3,11.951862675905312
35,4,G1,11.952810619098013
35,4,G2,11.952603024383382
35,4,G3,11.952432923190377
35,4,G4,11.951591192009325
35,5,G1,11.952810619098013
35,5,G2,11.952643313473141
35,5,G3,11.952562734440015
35,5,G4,11.952432923190377
35,5,G5,11.951591192009325
36,2,G1,11.989560247473813
36,2,G2,11.994397464988165
36,3,G1,11.987761445430916
36,3,G2,11.990356698503781
36,3,G3,11.994397464988165
36,4,G1,11.987761445430916
36,4,G2,11.990052987757668
36,4,G3,11.9909794146653
36,4,G4,11.994397464988165
36,5,G1,11.987761445430916
36,5,G2,11.989684000981178
36,5,G3,11.990404442190778
36,5,G4,11.9909794146653
36,5,G5,11.994397464988165
37,2,G1,12.276038796709429
37,2,G2,12.451380382248198
37,3,G1,12.110921983683086
37,3,G2,12.304641647744434
37,3,G3,12.451380382248198
37,4,G1,12.110921983683086
37,4,G2,12.282834057709277
37,4,G3,12.394002968972627
37,4,G4,12.451666543887569
37,5,G1,12.110921983683086
37,5,G2,12.239623558781167
37,5,G3,12.304942077284956
37,5,G4,12.394002968972627
37,5,G5,12.451666543887569
38,2,G1,12.023541255926876
38,2,G2,12.033388912931336
38,3,G1,12.021156802699718
38,3,G2,12.030560566977819
38,3,G3,12.04505223488036
38,4,G1,12.021156802699718
38,4,G2,12.025521521108596
38,4,G3,12.03068023634252
38,4,G4,12.040146002899133
38,5,G1,12.021156802699718
38,5,G2,12.024886749425297
38,5,G3,12.02886193403625
38,5,G4,12.033550799021578
38,5,G5,12.039435672859085
39,2,G1,12.459216561371178
39,2,G2,12.47245967835723
39,3,G1,12.459216561371178
39,3,G2,12.470745429749307
39,3,G3,12.481538529375806
39,4,G1,12.45813316763963
39,4,G2,12.463079879233849
39,4,G3,12.471557380193358
39,4,G4,12.481538529375806
39,5,G1,12.45813316763963
39,5,G2,12.464294152511545
39,5,G3,12.471244627029638
39,5,G4,12.476997872701572
39,5,G5,12.481538529375806
40,2,G1,12.048657842930366
40,2,G2,12.456684567469736
40,3,G1,12.04727597012886
40,3,G2,12.276855581217145
40,3,G3,12.457546276740052
40,4,G1,12.046368805661361
40,4,G2,12.20378121408476
40,4,G3,12.38608988209611
40,4,G4,12.458546002873485
40,5,G1,12.046368805661361
40,5,G2,12.20378121408476
40,5,G3,12.38608988209611
40,5,G4,12.45287462850596
40,5,G5,12.460835821579641
41,2,G1,12.462354632590557
41,2,G2,12.485751132050876
41,3,G1,12.462354632590557
41,3,G2,12.470861155324021
41,3,G3,12.487547167113686
41,4,G1,12.462354632590557
41,4,G2,12.479413842197383
41,4,G3,12.489783812339002
41,4,G4,12.495155313659254
41,5,G1,12.462354632590557
41,5,G2,12.478175617148256
41,5,G3,12.488094060657478
41,5,G4,12.491447115946887
41,5,G5,12.496340623323718
42,2,G1,12.048669110734231
42,2,G2,12.456144648749435
42,3,G1,12.045325192168267
42,3,G2,12.18099076144349
42,3,G3,12.457428054695297
42,4,G1,12.045325192168267
42,4,G2,12.144771508132084
42,4,G3,12.288536136606906
42,4,G4,12.457428054695297
42,5,G1,12.045325192168267
42,5,G2,12.097071127866496
42,5,G3,12.200729909047107
42,5,G4,12.288536136606906
42,5,G5,12.457428054695297
43,2,G1,12.009445079276041
43,2,G2,12.016840130264036
43,3,G1,12.007649650309817
43,3,G2,12.0107361031892
43,3,G3,12.016840130264036
43,4,G1,12.007649650309817
43,4,G2,12.0107361031892
43,4,G3,12.012315311882741
43,4,G4,12.017473550708806
43,5,G1,12.007649650309817
43,5,G2,12.0107361031892
43,5,G3,12.012315311882741
43,5,G4,12.01329434426
43,5,G5,12.018310642911127
44,2,G1,12.044270149223035
44,2,G2,12.451249725217082
44,3,G1,12.043593888847912
44,3,G2,12.222981160540419
44,3,G3,12.452868562315144
44,4,G1,12.042987383176817
44,4,G2,12.129655033716242
44,4,G3,12.297972860812235
44,4,G4,12.454435468955214
44,5,G1,12.042987383176817
44,5,G2,12.129655033716242
44,5,G3,12.26531203751728
44,5,G4,12.352005336677582
44,5,G5,12.454435468955214
45,2,G1,11.989070835357984
45,2,G2,11.996689297733175
45,3,G1,11.989070835357984
45,3,G2,11.993109037135735
45,3,G3,11.998318101966055
45,4,G1,11.989070835357984
45,4,G2,11.992227828621296
45,4,G3,11.993780625624808
45,4,G4,11.998318101966055
45,5,G1,11.989070835357984
45,5,G2,11.992227828621296
45,5,G3,11.993780625624808
45,5,G4,11.995276311910752
45,5,G5,11.999062640181126
46,2,G1,12.014150613231344
46,2,G2,12.022968515426083
46,3,G1,12.013712707236262
46,3,G2,12.016495190664616
46,3,G3,12.02414302019228
46,4,G1,12.013712707236262
46,4,G2,12.015758497247338
46,4,G3,12.02078778053425
46,4,G4,12.030445767037824
46,5,G1,12.013712707236262
46,5,G2,12.016495190664616
46,5,G3,12.019868425188719
46,5,G4,12.02343122638746
46,5,G5,12.029421411221412
47,2,G1,12.00157490777804
47,2,G2,12.008172712866845
47,3,G1,12.000519362349287
47,3,G2,12.003659691546357
47,3,G3,12.00866205057335
47,4,G1,11.999799858528469
47,4,G2,12.003027868243322
47,4,G3,12.00406336232649
47,4,G4,12.00866205057335
47,5,G1,11.999799858528469
47,5,G2,12.003027868243322
47,5,G3,12.005585324116241
47,5,G4,12.00828563991575
47,5,G5,12.011767460387574
48,2,G1,11.998800531664804
48,2,G2,12.00227444972703
48,3,G1,11.998118583176199
48,3,G2,11.999528120544754
48,3,G3,12.00227444972703
48,4,G1,11.998118583176199
48,4,G2,11.999528120544754
48,4,G3,12.001499518966755
48,4,G4,12.00474409880872
48,5,G1,11.998118583176199
48,5,G2,11.999528120544754
48,5,G3,12.00028258319756
48,5,G4,12.001586573012268
48,5,G5,12.004063136575809
49,2,G1,12.033662020959481
49,2,G2,12.040455345272905
49,3,G1,12.033662020959481
49,3,G2,12.035450370805671
49,3,G3,12.041185957250432
49,4,G1,12.033662020959481
49,4,G2,12.035450370805671
49,4,G3,12.036381454340122
49,4,G4,12.0418210032131
49,5,G1,12.033662020959481
49,5,G2,12.035450370805671
49,5,G3,12.036381454340122
49,5,G4,12.038682578141156
49,5,G5,12.043976912445599
50,2,G1,12.478277933918799
50,2,G2,12.491320812683014
50,3,G1,12.479570647756153
50,3,G2,12.490238989008809
50,3,G3,12.499677752991204
50,4,G1,12.47610211975398
50,4,G2,12.481206614931276
50,4,G3,12.484911513004404
50,4,G4,12.493871728176305
50,5,G1,12.47610211975398
50,5,G2,12.480222301374093
50,5,G3,12.483264830276926
50,5,G4,12.491024919443827
50,5,G5,12.499677752991204
51,2,G1,12.029585372022028
51,2,G2,12.037851226137615
51,3,G1,12.028796814134184
51,3,G2,12.032693538388571
51,3,G3,12.039035152153799
51,4,G1,12.028796814134184
51,4,G2,12.0322116609851
51,4,G3,12.033385188220562
51,4,G4,12.039035152153799
51,5,G1,12.028796814134184
51,5,G2,12.0322116609851
51,5,G3,12.033385188220562
51,5,G4,12.034504097210656
51,5,G5,12.039949756136718
52,2,G1,12.253556809186124
52,2,G2,12.460005642025392
52,3,G1,12.253556809186124
52,3,G2,12.451049839717165
52,3,G3,12.460846024941779
52,4,G1,12.253556809186124
52,4,G2,12.452578851173445
52,4,G3,12.460354772726351
52,4,G4,12.470065952196867
52,5,G1,12.253556809186124
52,5,G2,12.451049839717165
52,5,G3,12.453528950423998
52,5,G4,12.455496753482011
52,5,G5,12.463065739287181
53,2,G1,12.033535116911846
53,2,G2,12.45002878855153
53,3,G1,12.023926336256919
53,3,G2,12.036372235064503
53,3,G3,12.45002878855153
53,4,G1,12.02084708612727
53,4,G2,12.026595807467507
53,4,G3,12.036372235064503
53,4,G4,12.45002878855153
53,5,G1,12.02084708612727
53,5,G2,12.026595807467507
53,5,G3,12.034784432052426
53,5,G4,12.045210135057756
53,5,G5,12.45002878855153
54,2,G1,11.979400646919501
54,2,G2,11.980466558755154
54,3,G1,11.979248578273035
54,3,G2,11.979663864150604
54,3,G3,11.980466558755154
54,4,G1,11.979069340891144
54,4,G2,11.979592088125724
54,4,G3,11.979794142795066
54,4,G4,11.980578655425413
54,5,G1,11.979069340891144
54,5,G2,11.979592088125724
54,5,G3,11.979794142795066
54,5,G4,11.980004080241978
54,5,G5,11.98076419517515
55,2,G1,11.99023338872625
55,2,G2,11.99533221241624
55,3,G1,11.988665088348696
55,3,G2,11.990915508606012
55,3,G3,11.99533221241624
55,4,G1,11.98943662568642
55,4,G2,11.991250263524615
55,4,G3,11.992098424443112
55,4,G4,11.995710014946635
55,5,G1,11.988665088348696
55,5,G2,11.990915508606012
55,5,G3,11.992098424443112
55,5,G4,11.992786171902559
55,5,G5,11.996138958749222
56,2,G1,12.013564200567666
56,2,G2,12.019915380480061
56,3,G1,12.012505033752523
56,3,G2,12.015746062019046
56,3,G3,12.020342357413627
56,4,G1,12.013564200567666
56,4,G2,12.016060512341982
56,4,G3,12.016821042256353
56,4,G4,12.020868513612951
56,5,G1,12.012505033752523
56,5,G2,12.015746062019046
56,5,G3,12.016821042256353
56,5,G4,12.017789386220432
56,5,G5,12.021581874576661
57,2,G1,12.14607804075957
57,2,G2,12.456175256503192
57,3,G1,12.048899739812054
57,3,G2,12.294494252591889
57,3,G3,12.457040909608013
57,4,G1,12.048899739812054
57,4,G2,12.25456297252138
57,4,G3,12.406803749065114
57,4,G4,12.458477973917079
57,5,G1,12.048899739812054
57,5,G2,12.25456297252138
57,5,G3,12.360782960514856
57,5,G4,12.437879722377463
57,5,G5,12.458477973917079
58,2,G1,11.9997070387239
58,2,G2,12.010513805878304
58,3,G1,11.9997070387239
58,3,G2,12.003462961548268
58,3,G3,12.012437244857708
58,4,G1,11.9997070387239
58,4,G2,12.002763139361408
58,4,G3,12.004134917500545
58,4,G4,12.012437244857708
58,5,G1,11.9997070387239
58,5,G2,12.002763139361408
58,5,G3,12.006851836470469
58,5,G4,12.012265902469546
58,5,G5,12.01698129182145
59,2,G1,12.451214727068907
59,2,G2,12.467949610268093
59,3,G1,12.451214727068907
59,3,G2,12.463862649800438
59,3,G3,12.475998725393675
59,4,G1,12.451214727068907
59,4,G2,12.462604177550668
59,4,G3,12.4705839079532
59,4,G4,12.475998725393675
59,5,G1,12.451214727068907
59,5,G2,12.462604177550668
59,5,G3,12.4705839079532
59,5,G4,12.472784326347128
59,5,G5,12.478060897372464
60,2,G1,11.984879057082724
60,2,G2,11.987660477021471
60,3,G1,11.98389378123341
60,3,G2,11.985453930321993
60,3,G3,11.987660477021471
60,4,G1,11.98389378123341
60,4,G2,11.985453930321993
60,4,G3,11.986554217442482
60,4,G4,11.988689380778942
60,5,G1,11.98389378123341
60,5,G2,11.985234614530743
60,5,G3,11.986334002552704
60,5,G4,11.987769066763988
60,5,G5,11.989052578096064
61,2,G1,11.997739086854999
61,2,G2,12.003552619952092
61,3,G1,11.997739086854999
61,3,G2,12.00220654514674
61,3,G3,12.006843505841047
61,4,G1,11.996858320159083
61,4,G2,11.999466663185773
61,4,G3,12.00195697648464
61,4,G4,12.006049093756202
61,5,G1,11.996858320159083
61,5,G2,11.999916126701265
61,5,G3,12.001902255122916
61,5,G4,12.004029584734662
61,5,G5,12.006590391962789
62,2,G1,12.01172704306817
62,2,G2,12.022445954731628
62,3,G1,12.01172704306817
62,3,G2,12.016106256954805
62,3,G3,12.024112274707267
62,4,G1,12.01172704306817
62,4,G2,12.015228245861579
62,4,G3,12.016849393439674
62,4,G4,12.024112274707267
62,5,G1,12.01172704306817
62,5,G2,12.015228245861579
62,5,G3,12.016849393439674
62,5,G4,12.018234321098213
62,5,G5,12.025554821013277
63,2,G1,12.008972516027713
63,2,G2,12.015881362687491
63,3,G1,12.008972516027713
63,3,G2,12.012018092510456
63,3,G3,12.017415766879557
63,4,G1,12.008972516027713
63,4,G2,12.011481847603099
63,4,G3,12.012757953554496
63,4,G4,12.017415766879557
63,5,G1,12.008972516027713
63,5,G2,12.011481847603099
63,5,G3,12.012757953554496
63,5,G4,12.013470766413175
63,5,G5,12.018078636609907
64,2,G1,12.046329106666063
64,2,G2,12.456374318198243
64,3,G1,12.045679197810784
64,3,G2,12.221515582918913
64,3,G3,12.457922007553421
64,4,G1,12.045679197810784
64,4,G2,12.221515582918913
64,4,G3,12.450870724380252
64,4,G4,12.460972157283795
64,5,G1,12.04005604569068
64,5,G2,12.047839275936017
64,5,G3,12.221515582918913
64,5,G4,12.450870724380252
64,5,G5,12.460972157283795
65,2,G1,12.005342057392502
65,2,G2,12.012320753006753
65,3,G1,12.003044080114064
65,3,G2,12.005901208992848
65,3,G3,12.011623336147007
65,4,G1,12.003044080114064
65,4,G2,12.005453186369083
65,4,G3,12.006410416936513
65,4,G4,12.011623336147007
65,5,G1,12.003044080114064
65,5,G2,12.005453186369083
65,5,G3,12.006410416936513
65,5,G4,12.007338324385865
65,5,G5,12.012320753006753
66,2,G1,12.034895676251903
66,2,G2,12.439273890446481
66,3,G1,12.027868138939638
66,3,G2,12.037927143280237
66,3,G3,12.439273890446481
66,4,G1,12.025421759798997
66,4,G2,12.03006545893077
66,4,G3,12.037927143280237
66,4,G4,12.439273890446481
66,5,G1,12.025421759798997
66,5,G2,12.03006545893077
66,5,G3,12.03250180557373
66,5,G4,12.039316125631593
66,5,G5,12.439273890446481
67,2,G1,12.017297932040536
67,2,G2,12.02441320588473
67,3,G1,12.017297932040536
67,3,G2,12.020265612157138
67,3,G3,12.025751876483293
67,4,G1,12.017297932040536
67,4,G2,12.019788642580552
