replicate,group,recommendation,coverage,n_unsolved
14,G2,10.0,1.0,0
14,G3,10.0,1.0,0
14,G4,10.0,1.0,0
14,G5,15.5,0.825,1
15,G1,10.0,0.9818181818181818,0
15,G2,10.700000000000001,0.8235294117647058,0
15,G3,12.100000000000001,0.8545454545454545,0
15,G4,13.200000000000001,0.8275862068965517,0
15,G5,18.7,0.8205128205128205,0
16,G1,10.0,1.0,0
16,G2,11.100000000000001,0.8260869565217391,0
16,G3,13.9,0.8148148148148148,0
16,G4,17.400000000000002,0.875,0
16,G5,25.0,0.7818181818181819,12
17,G1,11.9,0.8869565217391304,0
17,G2,13.4,0.8529411764705882,0
17,G3,14.9,0.8181818181818182,0
17,G4,17.0,0.8928571428571429,0
17,G5,22.700000000000003,0.8043478260869565,8
18,G1,12.600000000000001,0.8454545454545455,0
18,G2,14.0,0.8529411764705882,0
18,G3,16.2,0.84,0
18,G4,18.1,0.8620689655172413,0
18,G5,24.700000000000003,0.8409090909090909,7
19,G1,10.0,1.0,0
19,G2,10.0,1.0,0
19,G3,10.5,0.8148148148148148,0
19,G4,18.400000000000002,0.9032258064516129,0
19,G5,25.0,0.40476190476190477,25
20,G1,10.0,1.0,0
20,G2,10.0,1.0,0
20,G3,11.700000000000001,0.8536585365853658,0
20,G4,14.4,0.8787878787878788,0
20,G5,19.1,0.8285714285714286,2
21,G1,12.0,0.905982905982906,0
21,G2,13.4,0.8333333333333334,0
21,G3,15.200000000000001,0.8666666666666667,0
21,G4,16.6,0.8292682926829268,0
21,G5,21.3,0.825,2
22,G1,10.0,1.0,0
22,G2,10.600000000000001,0.8064516129032258,0
22,G3,16.3,0.8679245283018868,0
22,G4,21.0,0.8181818181818182,0
22,G5,25.0,0.37777777777777777,28
23,G1,10.0,1.0,0
23,G2,10.0,1.0,0
23,G3,10.0,1.0,0
23,G4,13.0,0.8648648648648649,0
23,G5,25.0,0.6,14
24,G1,10.0,1.0,0
24,G2,10.0,1.0,0
24,G3,12.4,0.8297872340425532,0
24,G4,15.9,0.8205128205128205,0
24,G5,25.0,0.6976744186046512,13
25,G1,10.0,1.0,0
25,G2,10.0,1.0,0
25,G3,11.600000000000001,0.8064516129032258,0
25,G4,15.8,0.8214285714285714,0
25,G5,25.0,0.7391304347826086,12
26,G1,10.700000000000001,0.8217821782178217,0
26,G2,13.9,0.8717948717948718,0
26,G3,17.5,0.8545454545454545,0
26,G4,20.400000000000002,0.8148148148148148,0
26,G5,25.0,0.4444444444444444,25
27,G1,10.0,1.0,0
27,G2,10.4,0.8214285714285714,0
27,G3,14.600000000000001,0.8085106382978723,0
27,G4,17.900000000000002,0.8260869565217391,0
27,G5,25.0,0.4915254237288136,30
28,G1,10.600000000000001,0.8347826086956521,0
28,G2,12.100000000000001,0.9117647058823529,0
28,G3,14.100000000000001,0.84,0
28,G4,16.1,0.88,0
28,G5,22.700000000000003,0.8372093023255814,7
29,G1,10.0,1.0,0
29,G2,10.0,1.0,0
29,G3,14.4,0.8913043478260869,0
29,G4,19.1,0.8857142857142857,0
29,G5,25.0,0.5333333333333333,14
30,G1,11.3,0.883495145631068,0
30,G2,13.3,0.8787878787878788,0
30,G3,15.9,0.8148148148148148,0
30,G4,18.2,0.8064516129032258,0
30,G5,25.0,0.6521739130434783,16
31,G1,10.0,1.0,0
31,G2,10.0,0.9487179487179487,0
31,G3,13.3,0.8604651162790697,0
31,G4,16.5,0.8846153846153846,0
31,G5,25.0,0.6818181818181818,14
32,G1,10.0,1.0,0
32,G2,10.0,1.0,0
32,G3,10.0,1.0,0
32,G4,16.3,0.8333333333333334,0
32,G5,25.0,0.41025641025641024,23
33,G1,10.200000000000001,0.8225806451612904,0
33,G2,13.200000000000001,0.8235294117647058,0
33,G3,17.1,0.9047619047619048,0
33,G4,20.3,0.8055555555555556,0
33,G5,25.0,0.25806451612903225,23
34,G1,10.0,1.0,0
34,G2,10.0,1.0,0
34,G3,10.0,1.0,0
34,G4,12.9,0.8666666666666667,0
34,G5,25.0,0.5675675675675675,16
35,G1,11.3,0.8189655172413793,0
35,G2,12.8,0.8611111111111112,0
35,G3,14.600000000000001,0.9534883720930233,0
35,G4,16.0,0.8064516129032258,0
35,G5,20.5,0.8292682926829268,1
36,G1,10.0,1.0,0
36,G2,10.0,1.0,0
36,G3,10.0,1.0,0
36,G4,10.0,0.8064516129032258,0
36,G5,18.2,0.8095238095238095,1
37,G1,10.0,1.0,0
37,G2,10.0,1.0,0
37,G3,12.700000000000001,0.8333333333333334,0
37,G4,22.1,0.8235294117647058,0
37,G5,25.0,0.0,40
38,G1,10.700000000000001,0.8125,0
38,G2,12.8,0.8275862068965517,0
38,G3,15.0,0.8085106382978723,0
38,G4,17.900000000000002,0.8709677419354839,0
38,G5,22.700000000000003,0.8125,6
39,G1,10.9,0.8165137614678899,0
39,G2,12.8,0.8378378378378378,0
39,G3,15.3,0.8490566037735849,0
39,G4,17.3,0.825,0
39,G5,24.8,0.8214285714285714,4
40,G1,10.0,1.0,0
40,G2,10.0,0.8292682926829268,0
40,G3,12.8,0.8095238095238095,0
40,G4,16.900000000000002,0.8461538461538461,0
40,G5,25.0,0.6,14
41,G1,10.0,1.0,0
41,G2,10.0,1.0,0
41,G3,10.5,0.8431372549019608,0
41,G4,13.600000000000001,0.9565217391304348,0
41,G5,22.700000000000003,0.8043478260869565,6
42,G1,10.0,1.0,0
42,G2,11.9,0.8529411764705882,0
42,G3,19.0,0.8478260869565217,0
42,G4,25.0,0.7857142857142857,6
42,G5,25.0,0.0,51
43,G1,10.0,1.0,0
43,G2,10.0,1.0,0
43,G3,13.5,0.8222222222222222,0
43,G4,19.200000000000003,0.84375,0
43,G5,25.0,0.3269230769230769,35
44,G1,10.200000000000001,0.803921568627451,0
44,G2,12.4,0.8148148148148148,0
44,G3,14.600000000000001,0.82,0
44,G4,17.2,0.8055555555555556,0
44,G5,25.0,0.7115384615384616,15
45,G1,10.0,0.9824561403508771,0
45,G2,11.9,0.8076923076923077,0
45,G3,14.5,0.8070175438596491,0
45,G4,16.900000000000002,0.8125,0
45,G5,24.5,0.8421052631578947,6
46,G1,11.4,0.8020833333333334,0
46,G2,13.600000000000001,0.8055555555555556,0
46,G3,16.2,0.8363636363636363,0
46,G4,19.0,0.8974358974358975,0
46,G5,25.0,0.6341463414634146,15
47,G1,14.4,0.859504132231405,0
47,G2,15.700000000000001,0.8571428571428571,0
47,G3,17.1,0.813953488372093,0
47,G4,18.6,0.8064516129032258,0
47,G5,25.0,0.7837837837837838,8
48,G1,12.3,0.8416666666666667,0
48,G2,13.8,0.8888888888888888,0
48,G3,15.5,0.82,0
48,G4,17.1,0.8181818181818182,0
48,G5,23.700000000000003,0.8378378378378378,5
49,G1,10.0,1.0,0
49,G2,10.0,1.0,0
49,G3,10.0,1.0,0
49,G4,11.0,0.8518518518518519,0
49,G5,25.0,0.6551724137931034,10
50,G1,12.0,0.8157894736842105,0
50,G2,13.4,0.9393939393939394,0
50,G3,15.200000000000001,0.9142857142857143,0
50,G4,16.6,0.8333333333333334,0
50,G5,22.1,0.8181818181818182,4
51,G1,14.0,0.8181818181818182,0
51,G2,15.3,0.9459459459459459,0
51,G3,16.8,0.8125,0
51,G4,18.6,0.8536585365853658,0
51,G5,23.400000000000002,0.8064516129032258,3
52,G1,10.0,1.0,0
52,G2,10.200000000000001,0.8181818181818182,0
52,G3,14.200000000000001,0.8214285714285714,0
52,G4,17.7,0.8709677419354839,0
52,G5,25.0,0.6,16
53,G1,10.0,1.0,0
53,G2,10.0,1.0,0
53,G3,11.4,0.8367346938775511,0
53,G4,16.5,0.9512195121951219,0
53,G5,25.0,0.6388888888888888,13
54,G1,15.200000000000001,0.8062015503875969,0
54,G2,16.6,0.8888888888888888,0
54,G3,18.2,0.9,0
54,G4,19.5,0.8333333333333334,0
54,G5,25.0,0.7297297297297297,10
55,G1,10.0,1.0,0
55,G2,10.0,0.8809523809523809,0
55,G3,12.600000000000001,0.8245614035087719,0
55,G4,15.0,0.8285714285714286,0
55,G5,24.0,0.8157894736842105,6
56,G1,11.200000000000001,0.808695652173913,0
56,G2,14.200000000000001,0.8214285714285714,0
56,G3,18.0,0.85,0
56,G4,21.8,0.8461538461538461,0
56,G5,25.0,0.3684210526315789,24
57,G1,10.0,1.0,0
57,G2,12.600000000000001,0.8387096774193549,0
57,G3,18.5,0.8478260869565217,0
57,G4,23.5,0.8222222222222222,0
57,G5,25.0,0.0,36
58,G1,10.0,1.0,0
58,G2,10.0,1.0,0
58,G3,10.0,0.8222222222222222,0
58,G4,15.4,0.8285714285714286,0
58,G5,25.0,0.4375,18
59,G1,12.200000000000001,0.8559322033898306,0
59,G2,15.100000000000001,0.9583333333333334,0
59,G3,18.2,0.8813559322033898,0
59,G4,20.900000000000002,0.8064516129032258,0
59,G5,25.0,0.2571428571428571,26
