ga,all_records,only_10_25
17.2,0.8319741740459181,0.8187508983255443
17.3,0.8292174222724539,0.8150119787963805
17.4,0.8264059529215334,0.811319972981333
17.5,0.8235507900489987,0.8076997066124633
17.6,0.8206633991586749,0.804176733346851
17.7,0.8177556819592425,0.8007772313584003
17.8,0.814839965833068,0.7975278896022656
17.9,0.8119289882128434,0.7944557849789263
18.0,0.8090358761038219,0.7915867397092964
18.1,0.8061741210252946,0.7889317137432003
18.200000000000003,0.8033575496732208,0.7864927605052436
18.3,0.800600290625095,0.7842712644147793
18.4,0.7979167374172643,0.7822680655821624
18.5,0.7953215083233162,0.7804834876676608
18.6,0.7928294031491339,0.7789173648019094
18.700000000000003,0.7904553573361573,0.7775690674261095
18.8,0.7882143936290565,0.776437526951123
18.9,0.786121571518263,0.7755212591714804
19.0,0.7841919346124243,0.774818386403175
19.1,0.7824404560317252,0.7743266583430302
19.200000000000003,0.7808819818418291,0.7740434716726077
19.3,0.7795311724711182,0.7739658884512081
19.4,0.7784024419734316,0.7740906533608811
19.5,0.7775098949159293,0.7744142098815859
19.6,0.7768672605903801,0.7749327154871849
19.700000000000003,0.776487824168273,0.7756420559627625
19.8,0.7763843543491578,0.7765378589513418
19.9,0.7765690269911842,0.7776155068433704
20.0,0.7770533441669755,0.7788701491256109
20.1,0.7778438700614088,0.7802967143074083
20.200000000000003,0.7789297260960775,0.7818899215417984
20.3,0.7802953230718365,0.7836442920565773
20.4,0.7819246443601906,0.7855541605064932
20.5,0.783801326115071,0.7876136863519175
20.6,0.7859087341111589,0.7898168653620868
20.700000000000003,0.788230037790383,0.7921575413320814
20.8,0.7907482819625661,0.7946294180923966
20.9,0.7934464564699264,0.7972260718782784
21.0,0.7963075639918656,0.7999409641133082
21.1,0.799314686040012,0.8027674546479777
21.200000000000003,0.8024510470766363,0.8056988154797738
21.3,0.8057000765859319,0.8087282449666993
21.4,0.8090454688388224,0.8118488820915876
21.5,0.8124712400206106,0.8150523558452762
21.6,0.8159617823381284,0.8183256539134186
21.700000000000003,0.8195019146894055,0.821655126125908
21.8,0.8230769294650772,0.8250275028887039
21.9,0.8266726350552763,0.8284299332339639
22.0,0.8302753936578655,0.831850019289565
22.1,0.8338721540213636,0.8352758468798479
22.200000000000003,0.8374504788062332,0.8386960120003448
22.3,0.8409985663090633,0.842099642948409
22.4,0.8445052663621477,0.8454764179370803
22.5,0.8479600902935266,0.8488165780693271
22.6,0.8513532149069,0.8521109356021347
22.700000000000003,0.8546754805143217,0.855350877483205
22.8,0.8579183831251987,0.8585283641956292
22.9,0.8610740609608936,0.8616359239965649
23.0,0.8641352755238308,0.8646666426836029
23.1,0.8670953875019984,0.8676141490661797
23.200000000000003,0.869948327833559,0.8704725963582886
23.3,0.8726885642910237,0.8732366397423147
23.4,0.8753110639698247,0.8759014103814179
23.5,0.8778112520819166,0.878462486179225
23.6,0.8801849674611592,0.8809158596002888
23.700000000000003,0.8824284151838173,0.8832579028725407
23.8,0.8845381166950329,0.8854853308940174
23.9,0.8865108578109355,0.887595162160092
24.0,0.8883436349370506,0.8895846780151344
24.1,0.8900335998077419,0.8914513805137007
24.200000000000003,0.8915780030096865,0.8931929491523098
24.3,0.8929741365062116,0.8948071967035871
24.4,0.8942192753299432,0.8962920243518177
24.5,0.8953106185602216,0.8976453762926874
24.6,0.8962478906559795,0.898865193922332
24.700000000000003,0.8970410952708241,0.8999493697018243
24.8,0.8977022458720602,0.9008957007447104
24.9,0.898242744991218,0.9011348311433286
25.0,0.8986734667210808,0.9005742055436607
