model,metric,value,se,p_value,n,bmi,ga,note
Logit-Gaussian spline baseline,AIC,1478.6564768258281,,,1082,,,AIC不可与Beta跨分布直接比较
Logit-Gaussian spline baseline,BIC,1568.4146730951438,,,1082,,,AIC不可与Beta跨分布直接比较
Logit-Gaussian spline baseline,RMSE,0.08021077323593577,,,1082,,,AIC不可与Beta跨分布直接比较
Logit-Gaussian spline baseline,MAE,0.03282038917139975,,,1082,,,AIC不可与Beta跨分布直接比较
s1(ga),edf,6.0,,,1082,,,
s1(ga),p_value,6.058634345387192e-13,,6.058634345387192e-13,1082,,,
s1(ga),delta_AIC_removed,57.167059683448315,,,1082,,,
s2(bmi),edf,6.0,,,1082,,,
s2(bmi),p_value,2.8392134225373118e-14,,2.8392134225373118e-14,1082,,,
s2(bmi),delta_AIC_removed,63.63589163278539,,,1082,,,
s3(age),edf,4.0,,,1082,,,
s3(age),p_value,0.0025759875660281584,,0.0025759875660281584,1082,,,
s3(age),delta_AIC_removed,8.35674432425094,,,1082,,,
ivf,edf,1.0,,,1082,,,
ivf,p_value,0.03368403421035865,,0.03368403421035865,1082,,,
ivf,delta_AIC_removed,2.510670485612536,,,1082,,,
"ti(ga,bmi)",edf,9.0,,,1082,,,
"ti(ga,bmi)",p_value,0.7656709430443138,,0.7656709430443138,1082,,,
"ti(ga,bmi)",delta_AIC_removed,-10.0,,,1082,,,
random_effects,random intercept variance,0.18789488778847566,0.10607745373128256,,1082,,,Wald approximation
random_effects,random slope variance,0.0014266154355525563,0.007557696312828404,,1082,,,Wald approximation
random_effects,intercept-slope covariance,-0.000427869184440947,0.0011574599188152299,,1082,,,Wald approximation
random_effects,residual variance (logit scale),0.04434645485372076,0.0019226626558356285,,1082,,,REML approximation
random_effects,ICC at mean GA,0.8090501271255424,,,1082,,,delta-bound approximation
main_model,sigma_tech,0.13293552621663884,,,1082,,,"tech groups=40, rows=101"
main_model,pearson_ga,0.12656002844735784,,2.9795639953541916e-05,1082,,,
main_model,spearman_ga,0.08428675276902133,,0.0055330486404856286,1082,,,
main_model,pearson_bmi,-0.15129981392456496,,5.736662841941766e-07,1082,,,
main_model,spearman_bmi,-0.15495941516592615,,3.018672242238758e-07,1082,,,
main_model,beta_precision_phi,70.24447912000612,,,1082,,,
sens_gc,P_ok_diff,0.0,,,1082,,,不纳入GC（主模型）
sens_gc,P_ok_diff,0.00011558136957401377,,,1082,,,GC连续协变量
sens_ga_window,P_ok_diff,0.0,,,1082,,,全部记录
sens_ga_window,P_ok_diff,0.047356954860384826,,,1069,,,仅10-25周
bootstrap,p_lo_bs_ga12,0.750237640622014,,,1082,,,median BMI 孕妇层bootstrap 2.5%（B=100）
bootstrap,p_hi_bs_ga12,0.8336386298626702,,,1082,,,median BMI 孕妇层bootstrap 97.5%（B=100）
bootstrap,p_lo_bs_ga16,0.8321794374941075,,,1082,,,median BMI 孕妇层bootstrap 2.5%（B=100）
bootstrap,p_hi_bs_ga16,0.889903966942549,,,1082,,,median BMI 孕妇层bootstrap 97.5%（B=100）
bootstrap,p_lo_bs_ga20,0.7296117962402877,,,1082,,,median BMI 孕妇层bootstrap 2.5%（B=100）
bootstrap,p_hi_bs_ga20,0.8277294645831452,,,1082,,,median BMI 孕妇层bootstrap 97.5%（B=100）
bootstrap,p_lo_bs_ga24,0.8664269274833818,,,1082,,,median BMI 孕妇层bootstrap 2.5%（B=100）
bootstrap,p_hi_bs_ga24,0.9163622123702848,,,1082,,,median BMI 孕妇层bootstrap 97.5%（B=100）
main_model,mc_se_max,0.007997471874619456,,,1082,,,边缘达标概率MC标准误最大值
